indice,clip_original,clip_procesado,clip_longitud_original,clip_longitud_procesada,instagram_original,instagram_procesado,instagram_longitud_original,instagram_longitud_procesada,instagram_hashtags,instagram_hashtags_procesados,instagram_menciones,instagram_emojis
0,"a white dress with a floral pattern and a white lace, clothes made out of flower, floral art novuea dress, maximalist fashion dress, historical baroque dress, wearing a white folkdrakt dress, idian dress, floral embroidery, skinny girl in white boho dress, dia de muertos dress and make up, la catrina, mexican folk art",dress floral pattern lace clothes made flower floral art novuea dress maximalist fashion dress historical baroque dress folkdrakt dress idian dress floral embroidery skinny girl boho dress dia muertos dress make catrina mexican folk art,319,236,"Puntadas en peligro de extinción????

En un mundo donde las técnicas de costura ancestrales se desvanecen, el artesano Pedro Mendoza se ha encargado de rescatar puntadas prehispánicas del olvido, su creatividad da vida a piezas únicas, preservando así un legado invaluable.

-
In a world where ancestral sewing techniques are fading, artisan Pedro Mendoza has taken on the task of rescuing pre-Hispanic stitches from oblivion. 
His creativity breathes life into unique pieces, thus preserving an invaluable legacy.

#Merida #tourism #mexico #visitmeridamx #travel #traditionalart",puntadas peligro extinción mundo técnicas costura ancestrales desvanecen artesano pedro mendoza encargado rescatar puntadas prehispánicas olvido creatividad vida piezas únicas preservando así legado world where ancestral sewing techniques are fading artisan pedro mendoza taken the task rescuing stitches from oblivion his creativity breathes life into unique pieces thus preserving invaluable legacy merida tourism mexico visitmeridamx travel traditionalart,579,458,"['Merida', 'tourism', 'mexico', 'visitmeridamx', 'travel', 'traditionalart']","['merida', 'tourism', 'mexico', 'visitmeridamx', 'travel', 'traditionalart']",[],[]
1,"a clock on a building with a sky background, yellow awning, rounded roof, golden curve structure, rounded ceiling, roof background, curvilinear architecture, curving geometric arches, googie architecture, orange roof, smooth curvilinear design, mind-bending geometry, yellow and black trim, rounded architecture, tent architecture, golden arches, golden curve composition",clock building sky awning rounded roof golden curve structure rounded ceiling roof curvilinear architecture curving geometric arches googie architecture orange roof smooth curvilinear design geometry trim rounded architecture tent architecture golden arches golden curve composition,371,282,"Un paseo por Mérida también es visitar sus al rededores??
Encontrarás una extensa variedad de cenotes que te cautivarán por su belleza única. 
El calor es la excusa perfecta para refrescarte en sus encantadoras aguas.

¡Realmente los cenotes son una experiencia inolvidable!

-

A walk through Mérida also means visiting its surroundings?? 

You will find a wide variety of cenotes that will captivate you with their unique beauty.
The heat is the perfect excuse to immerse yourself in its lovely waters.",paseo mérida visitar rededores encontrarás extensa variedad cenotes cautivarán belleza única calor excusa perfecta refrescarte encantadoras cenotes experiencia inolvidable walk through mérida also means visiting its surroundings you will find wide variety cenotes that will captivate you with their unique heat the perfect excuse immerse yourself its lovely waters,504,364,[],[],[],[]
2,"a wooden bench in front of a building, photo taken with ektachrome, by Michalis Oikonomou, lviv historic centre, lviv, sit on a bench, by Anton Solomoukha, seville, spain, ukraine. professional photo, benches, greek setting, by Demetrios Farmakopoulos, hdr photography, sitting on a park bench",wooden bench front building taken ektachrome michalis oikonomou lviv historic centre lviv sit bench anton solomoukha seville spain ukraine professional benches greek setting demetrios farmakopoulos hdr photography sitting park bench,293,232,"¡Alerta antojitos!????

Descubre el auténtico placer de Yucatán con las piedras, una botana típica que combina una masa de maíz condimentada con relleno de frijol, acompañada de repollo fresco, cebolla y el toque picante del chile habanero.
Ufff, ¡ya se me antojó!

-
This is a tasty alert!????
Discover the authentic pleasure of Yucatan with stones, a typical snack that combines a seasoned corn dough with fillings such as beans, accompanied by fresh cabbage, onion and the spicy touch of the habanero.

Yummy!!",antojitos descubre auténtico placer yucatán piedras botana típica combina masa maíz condimentada relleno frijol acompañada repollo fresco cebolla toque picante chile antojó tasty alert discover the authentic pleasure yucatan with stones typical snack that combines seasoned corn dough with fillings such beans accompanied fresh cabbage onion and the spicy touch the,513,365,[],[],[],[]
3,"a bride in a wedding dress standing in the middle of a garden, beautiful wedding dress, wearing a wedding dress, simple white veil, wedding dress, lace veil, white transparent veil, bride, professional wedding photography, romantic gown, 30-year-old woman from cuba, jen atkin, in wedding dresses, carmelo blandino, beautiful gown",bride wedding dress standing middle garden beautiful wedding dress wedding dress simple veil wedding dress lace veil transparent veil bride professional wedding photography romantic gown woman cuba jen atkin wedding dresses carmelo blandino beautiful gown,330,255,"¡Es un Barrio Mágico! ??

El Barrio Ermita de Santa Isabel, ubicado en el corazón de Mérida, es un lugar icónico y único que ha sido parte integral de la cultura yucateca a lo largo de los años.
Sus calles adoquinadas serpentean entre hermosas hileras de casas, ofreciendo un paisaje arquitectónico variado y pintoresco que invita a perderse y explorar cada rincón.

El Barrio de la Ermita es un tesoro de Mérida que refleja la autenticidad y la belleza de la vida en Yucatán.

-
It's a Barrio Mágico!??

The Barrio Ermita de Santa Isabel, located in the heart of Mérida, is an iconic and unique place that has been an integral part of Yucatecan culture throughout the years.
Its cobblestone streets wind between beautiful rows of houses, offering a varied and picturesque architectural landscape that invites you to get lost and explore every corner.

The Barrio de la Ermita is a treasure of Mérida that reflects the authenticity and beauty of life in Yucatán.",barrio mágico barrio ermita santa isabel ubicado corazón mérida lugar icónico único sido parte integral cultura yucateca largo calles adoquinadas serpentean hermosas hileras casas ofreciendo paisaje arquitectónico variado pintoresco invita perderse explorar cada barrio ermita tesoro mérida refleja autenticidad belleza vida barrio mágico the barrio ermita santa isabel located the heart mérida iconic and unique place that been integral part yucatecan culture throughout the cobblestone streets wind between beautiful rows houses offering varied and picturesque architectural landscape that invites you get lost and explore every barrio ermita treasure mérida that reflects the authenticity and beauty life yucatán,962,715,[],[],[],[]
4,"two small ices with orange and white ices, orange fire/blue ice duality!, white and orange, cold drinks, orange and white, molecular gastronomy, ice and fire, snow and ice, ice cream on the side, fire and ice, ice! cream! truck!, orange grey white, slush, browns and whites, dessert, orange and orange slices, sugar snow",two small ices orange ices orange fire ice duality orange cold drinks orange molecular gastronomy ice fire snow ice ice cream side fire ice ice cream truck orange grey slush browns whites dessert orange orange slices sugar snow,320,227,"¡Mérida es una verdadera chulada!??
La capital yucateca cautiva a cada paso gracias a su mezcla única de cultura, gastronomía, arte y tradición.
¡Esta ciudad lo tiene todo!

#mérida #yucatan #topyucatan #yucatanpeninsula #meridayucatan #aesthetic #travel #tourism #culture #visitmeridamx",verdadera chulada capital yucateca cautiva cada paso gracias mezcla única cultura gastronomía arte ciudad rida yucatan topyucatan yucatanpeninsula meridayucatan aesthetic travel tourism culture visitmeridamx,287,207,"['mérida', 'yucatan', 'topyucatan', 'yucatanpeninsula', 'meridayucatan', 'aesthetic', 'travel', 'tourism', 'culture', 'visitmeridamx']","['rida', 'yucatan', 'topyucatan', 'yucatanpeninsula', 'meridayucatan', 'aesthetic', 'travel', 'tourism', 'culture', 'visitmeridamx']",[],[]
5,"a woman sitting on a motorcycle with a helmet on, female photography, picture of a female biker, full frame photography, professional photo-n 3, journalist photo, full body photography, photo of a woman, award winning photographer, professional shooting, akt photography, professional shoot, vp of marketing, professional color photograph, professional light, equestrian photography, nikkon",woman sitting motorcycle helmet female photography female biker full frame photography professional journalist full body photography woman award winning photographer professional shooting akt photography professional shoot marketing professional photograph professional light equestrian photography nikkon,390,305,"Santa Ana Market #antojitoyucateco #meridayucatan 

Open 7am-11:30pm
?? Calle 60 x 47 

@visitmeridamx #streetfoodmexico",santa ana market open calle antojitoyucateco meridayucatan streetfoodmexico,122,75,"['antojitoyucateco', 'meridayucatan', 'streetfoodmexico']","['antojitoyucateco', 'meridayucatan', 'streetfoodmexico']",['visitmeridamx'],[]
6,"a pile of corn kernels, corn, large cornicione, corn on a cob everywhere, corn chess board game, corn floating in ocean, cornucopia, grain, grainâ, scattered golden flakes, no grain, 1 6 : 9 ratio, gradient yellow to red, gradient yellow, seamless texture, combine, hd texture, flat texture, ultra texture",pile corn kernels corn large cornicione corn cob everywhere corn chess board game corn floating ocean cornucopia grain grainâ scattered golden flakes grain ratio gradient gradient seamless texture combine texture flat texture ultra texture,307,239,"La imponente arquitectura del Paseo de Montejo en Mérida, Yucatán | Museo Palacio Cantón (@mpalaciocanton) 

#merida #yucatan #topyucatan #yucatanpeninsula #meridayucatan #arquitetura #arquitectura #archidaily #archilovers #architecture #archiporn #aesthetic #????????? #destination #cityvibes #visitmeridamx",imponente arquitectura paseo montejo mérida yucatán museo palacio cantón merida yucatan topyucatan yucatanpeninsula meridayucatan arquitetura arquitectura archidaily archilovers architecture archiporn aesthetic destination cityvibes visitmeridamx,308,246,"['merida', 'yucatan', 'topyucatan', 'yucatanpeninsula', 'meridayucatan', 'arquitetura', 'arquitectura', 'archidaily', 'archilovers', 'architecture', 'archiporn', 'aesthetic', 'destination', 'cityvibes', 'visitmeridamx']","['merida', 'yucatan', 'topyucatan', 'yucatanpeninsula', 'meridayucatan', 'arquitetura', 'arquitectura', 'archidaily', 'archilovers', 'architecture', 'archiporn', 'aesthetic', 'destination', 'cityvibes', 'visitmeridamx']",['mpalaciocanton'],[]
7,"the ceiling of the cathedral of cordoba, interior of a marble dome, rounded ceiling, complex ceiling, pillars on ceiling, symmetrically centered, cathedral ceiling, 3 6 0 picture, high arched ceiling, arched ceiling, view from bottom to top, centered symmetrical, symmetrical centered, 360 degree view, white marble interior photograph, ceiling",ceiling cathedral cordoba interior marble dome rounded ceiling complex ceiling pillars ceiling symmetrically centered cathedral ceiling high arched ceiling arched ceiling view bottom top centered symmetrical symmetrical centered degree view marble interior photograph ceiling,344,275,"Mérida, donde la música y la danza son parte de su identidad. ¡Déjate llevar por el ritmo y la alegría!, disfruta hoy de noche mexicana a las 8:00 pm en el remate de paseo montejo.
-
Mérida, where music and dance are part of its identity. Let yourself be carried away by the rhythm and joy! Enjoy Mexican night today at 8:00 pm at the Paseo Montejo auction.

Más información/ more info: https://visitmerida.mx/eventsVisit/eventsVisit/c720",mérida música danza parte identidad llevar ritmo alegría disfruta hoy noche mexicana remate paseo where music and dance are part its identity let yourself carried away the rhythm and joy enjoy mexican night today the paseo montejo información more info,438,252,[],[],[],[]
8,"a street with cars parked in front of a building, downtown mexico, colonial era street, tlaquepaque, in a city with a rich history, the neat and dense buildings, whitewashed buildings, streets of salvador, storefronts, colonial house in background, old buildings, catia, photograph of the city street, the hard and strong buildings",street cars parked front building downtown mexico colonial era street tlaquepaque city rich history neat dense buildings whitewashed buildings streets salvador storefronts colonial house old buildings catia photograph city street hard strong buildings,331,251,"Las vaquerías de mi bella MÉRIDA

 @visitmeridamx",vaquerías bella mérida,49,22,[],[],['visitmeridamx'],[]
9,"a group of people in white outfits dancing, girl in white dress dancing, folklorico, carnaval de barranquilla, community celebration, dancers, people dancing, pop up parade figure, people dancing in background, parade setting, dancing people, salsa social dance, tlaquepaque, bolero, angels in white gauze dresses",group people outfits dancing girl dress dancing folklorico carnaval barranquilla community celebration dancers people dancing pop parade figure people dancing parade setting dancing people salsa social dance tlaquepaque bolero angels gauze dresses,313,247,"Merida Vibes ? Capital of Yucatan 

Discover the city in @visitmeridamx 

#merida #yucatan #meridayucatan #destination #photooftheday #instadaily #sunset #aesthetic #????????? #visitmeridamx #archilovers #architecture #archidaily #arquitectura",merida vibes capital yucatan discover the city merida yucatan meridayucatan destination photooftheday instadaily sunset aesthetic visitmeridamx archilovers architecture archidaily arquitectura,243,192,"['merida', 'yucatan', 'meridayucatan', 'destination', 'photooftheday', 'instadaily', 'sunset', 'aesthetic', 'visitmeridamx', 'archilovers', 'architecture', 'archidaily', 'arquitectura']","['merida', 'yucatan', 'meridayucatan', 'destination', 'photooftheday', 'instadaily', 'sunset', 'aesthetic', 'visitmeridamx', 'archilovers', 'architecture', 'archidaily', 'arquitectura']",['visitmeridamx'],[]
