indice,clip_original,clip_procesado,clip_longitud_original,clip_longitud_procesada,instagram_original,instagram_procesado,instagram_longitud_original,instagram_longitud_procesada,instagram_hashtags,instagram_hashtags_procesados,instagram_menciones,instagram_emojis
0,"a large sculpture with a skull on it, projection mapping, 3 d ar vr art, art installation, outdoor art installation, rhinoceros 3d, ( el dia los muertos ), star walk, 3d appearance, national art school mfa, conceptual installation, contemporary 3d art, ( dia de los muertos ), (dia de los muertos)",escultura cráneo mapeo proyección art instalación arte instalación arte aire libre rhinoceros muertos star walk apariencia national art school mfa instalación conceptual arte contemporáneo muertos muertos,297,204,"Listos Monterrey?? Octubre 25 en @auditoriopabellonm boletos en @ticketmaster_mx estamos muy contentas de rockear en casa ??????????
??: @thewarningrockband",listos monterrey octubre boletos contenta rockear casa,156,54,[],[],"['auditoriopabellonm', 'ticketmaster_mx', 'thewarningrockband']",[]
1,"christmas lights on a tree, emitting light ornaments, fractal lighting, blue and yellow glowing lights, . ethereal lights, blue and yellow lighting, wisp lights, decorations, intricate lights, dazzling lights, many lights, floating lights, christmas lights, lights with bloom, captivating glowing lights, beautiful illumination, glowing lights intricate elegant, white warm illumination, ethereal lights",luz navideño árbol adorno luz iluminación fractal luz brillante azul amarillo luz etérea iluminación azul amarillo luz wispas decoración luz intrincada luz deslumbrante luz luz flotante luz navideño luz floración luz brillante cautivadora hermoso iluminación luz brillante intrincada elegante iluminación cálido blanco luz etérea,403,329,??: @gansossuperextremos,,24,0,[],[],['gansossuperextremos'],[]
2,"a bus is passing by a monument at night, traffic with light trails, long exposure photography, light trails, long shutter speed, long exposure photograph, time exposure, slow - shutter, slow shutter speed, long exposure time, low shutter speed, slow shutter, long exposure, long exposure photo, motion blur lights, lightpainting motion blur, hdr photography, heavy motion blur",autobús pasar monumento noche tráfico sendero luz fotografía exposición largo sendero luz velocidad obturación largo fotografía exposición largo exposición tiempo obturador lento velocidad obturación lento tiempo exposición velocidad obturación bajo obturador lento exposición largo largo exposición luz desenfocar movimiento iluminación movimiento luz ligero fotografía hdr fotografía hdr pesado pesado,376,403,"Visit Monterrey, México.
#monterrey #monterreynl #nuevoleon #mexico #Explorer #visitmonterrey #followme #ciudaddelasmontañas #Wanderlust #viajar #Traveling #monterreymexico #amomonterrey #travel 
#follow #Travelersnotebook #TravelPics #mty #nuevoleonmagico #travelgram
?? By: @carlogirodengo",visita monterrey méxico monterrey monterreynl nuevoleon mexico explorer visitmonterrey followme ciudaddelasmontar wanderlust viajar traveling monterreymexico amomonterrey travel travelersnotebook travel pics mty nuevoleonmagico travelgram,291,238,"['monterrey', 'monterreynl', 'nuevoleon', 'mexico', 'Explorer', 'visitmonterrey', 'followme', 'ciudaddelasmontañas', 'Wanderlust', 'viajar', 'Traveling', 'monterreymexico', 'amomonterrey', 'travel', 'follow', 'Travelersnotebook', 'TravelPics', 'mty', 'nuevoleonmagico', 'travelgram']","['monterrey', 'monterreynl', 'nuevoleon', 'mexico', 'explorer', 'visitmonterrey', 'followme', 'ciudaddelasmontar', 'wanderlust', 'viajar', 'traveling', 'monterreymexico', 'amomonterrey', 'travel', 'travelersnotebook', 'travel', 'pics', 'mty', 'nuevoleonmagico', 'travelgram']",['carlogirodengo'],[]
3,"a large sculpture in the middle of a field, by Rodolfo Escalera, art nuevo, pritzker architecture prize, by Juan Villafuerte, giant sculpture, a monumental, art foreground : eloy morales, by Federico Uribe, foto realista, monumental mountains, by Enrique Grau, by Rodolfo Morales, downtown mexico, mexico city",escultura campo rodolfo escalera art premio arquitectura pritzker juan villafuerte escultura gigante monumental art floseground eloy morales federico uribe realista montañas monumental enriquecedora rodolfo morales downtown méxico méxico méxico méxico ciudad,309,258,"Visit Monterrey, México.
#monterrey #monterreynl #nuevoleon #mexico #Explorer #visitmonterrey #followme #ciudaddelasmontañas #Wanderlust #viajar #Traveling #monterreymexico #amomonterrey #travel 
#follow #Travelersnotebook #TravelPics #mty #nuevoleonmagico #travelgram
?? By: @los_viajes_de_yu",visita monterrey méxico monterrey monterreynl nuevoleon mexico explorer visitmonterrey followme ciudaddelasmontar wanderlust viajar traveling monterreymexico amomonterrey travel travelersnotebook travel pics mty nuevoleonmagico travelgram,293,238,"['monterrey', 'monterreynl', 'nuevoleon', 'mexico', 'Explorer', 'visitmonterrey', 'followme', 'ciudaddelasmontañas', 'Wanderlust', 'viajar', 'Traveling', 'monterreymexico', 'amomonterrey', 'travel', 'follow', 'Travelersnotebook', 'TravelPics', 'mty', 'nuevoleonmagico', 'travelgram']","['monterrey', 'monterreynl', 'nuevoleon', 'mexico', 'explorer', 'visitmonterrey', 'followme', 'ciudaddelasmontar', 'wanderlust', 'viajar', 'traveling', 'monterreymexico', 'amomonterrey', 'travel', 'travelersnotebook', 'travel', 'pics', 'mty', 'nuevoleonmagico', 'travelgram']",['los_viajes_de_yu'],[]
4,"a street with palm trees and a bridge at sunset, los angeles ca, los angeles, los angeles at night, city twilight landscape, los angelos, city sunset night, city of industry, tucson arizona, city sunset, southern california, by Dave Arredondo, tar pits, california, long exposure photography, colorful skies, vista of a city at sunset",calle palmera puente atardecer ángeles ángeles ángeles noche paisaje city twilight ángeles city sunset night city industry tucson arizona city sunset southern california dave arreddon,334,183,"No te vayas, sin antes haber pedido nuestro carajillo ?????

#carajillo #dessert #caramel #postre #nuevoleonmagico #travelgram #visitmonterrey
?? By: @romeria_mx",vayar pedir carajillo carajillo dessert caramel postrar nuevoleonmagico travelgram visitmonterrey,161,97,"['carajillo', 'dessert', 'caramel', 'postre', 'nuevoleonmagico', 'travelgram', 'visitmonterrey']","['carajillo', 'dessert', 'caramel', 'postrar', 'nuevoleonmagico', 'travelgram', 'visitmonterrey']",['romeria_mx'],[]
5,"a gate in front of a church, the city of santa barbara, mission arts environment, dry archways and spires, guanajuato, parks and gardens, wrought iron architecture, in a city with a rich history, tlaquepaque, steel archways, private academy entrance, golden gates, with palm trees and columns, baroque architecture, with archways",puerta frente iglesia ciudad santa bárbara entorno art misionera arco aguja seco guanajuato parque jardín arquitectura hierro forjado ciudad rico historia tlaqueque arco acero entrada academia privado puerta dorado palmera columna arquitectura barca arco arco,329,259,"#Carta Blanca
Visit Monterrey, México.
#monterrey #monterreynl #nuevoleon #mexico #Explorer #visitmonterrey #followme #ciudaddelasmontañas #Wanderlust #viajar #Traveling #monterreymexico #amomonterrey #travel 
#follow #Travelersnotebook #TravelPics #mty #nuevoleonmagico #travelgram
?? By: @visitmonterrey",blancavisit monterrey méxico carta monterrey monterreynl nuevoleon mexico explorer visitmonterrey followme ciudaddelasmontar wanderlust viajar traveling monterreymexico amomonterrey travel travelersnotebook travel pics mty nuevoleonmagico travelgram,305,249,"['Carta', 'monterrey', 'monterreynl', 'nuevoleon', 'mexico', 'Explorer', 'visitmonterrey', 'followme', 'ciudaddelasmontañas', 'Wanderlust', 'viajar', 'Traveling', 'monterreymexico', 'amomonterrey', 'travel', 'follow', 'Travelersnotebook', 'TravelPics', 'mty', 'nuevoleonmagico', 'travelgram']","['carta', 'monterrey', 'monterreynl', 'nuevoleon', 'mexico', 'explorer', 'visitmonterrey', 'followme', 'ciudaddelasmontar', 'wanderlust', 'viajar', 'traveling', 'monterreymexico', 'amomonterrey', 'travel', 'travelersnotebook', 'travel', 'pics', 'mty', 'nuevoleonmagico', 'travelgram']",['visitmonterrey'],[]
6,"a piece of meat with sauce on top, nugget and sausage on plate, steakpunk, burger on a plate, the fork is on a plate, steak, realistic rendering for stool, meat texture, kebab, serving rack of ribs, brown durand, served on a plate, molecular gastronomy, restaurant menu photo, an island made of food, burger with human eyes",trozo carne salsa superior pepito salchicha plato asador hamburguesar plato horquilla plato filete representación realista taburet textura carne kebab estante costilla duranda marrón servido plato gastronomía molecular menú restaurante isla hecho alimento hamburguesa hamburguesa humano,323,286,"Cerró de la Silla.
Visit Monterrey, México.
#monterrey #monterreynl #nuevoleon #mexico #Explorer #visitmonterrey #followme #ciudaddelasmontañas #Wanderlust #viajar #Traveling #monterreymexico #amomonterrey #travel 
#follow #Travelersnotebook #TravelPics #mty #nuevoleonmagico #travelgram
?? By: @visitmonterrey",cerrar silla visit monterrey méxico monterrey monterreynl nuevoleon mexico explorer visitmonterrey followme ciudaddelasmontar wanderlust viajar traveling monterreymexico amomonterrey travel travelersnotebook travel pics mty nuevoleonmagico travelgram,310,250,"['monterrey', 'monterreynl', 'nuevoleon', 'mexico', 'Explorer', 'visitmonterrey', 'followme', 'ciudaddelasmontañas', 'Wanderlust', 'viajar', 'Traveling', 'monterreymexico', 'amomonterrey', 'travel', 'follow', 'Travelersnotebook', 'TravelPics', 'mty', 'nuevoleonmagico', 'travelgram']","['monterrey', 'monterreynl', 'nuevoleon', 'mexico', 'explorer', 'visitmonterrey', 'followme', 'ciudaddelasmontar', 'wanderlust', 'viajar', 'traveling', 'monterreymexico', 'amomonterrey', 'travel', 'travelersnotebook', 'travel', 'pics', 'mty', 'nuevoleonmagico', 'travelgram']",['visitmonterrey'],[]
7,"a cannon on top of a hill overlooking the city, long beach background, tucson arizona, looking over city, 120 degree view, sweeping vista, wide angle shot 4 k hdr, city ruins background, looking at the city, battlements, high point of view, inspired by Fitz Hugh Lane, in a city with a rich history, the city of santa barbara",cañón cima colina vistas ciudad fondo long beach tucson arizona mirar ciudad vista grado visto vistas angular hdr antecedente ruina ciudad mirar ciudad almena punto vista inspirado fitz hugh lane ciudad rico historia ciudad sma barbara,325,235,"¡Conoce la programación del 5 de  agosto del Festival Natural!

Vive la sexta edición del #FestivalNatural, con motivo del 31 aniversario del Parque Ecológico Chipinque  A.B.P. Celebremos juntos una vez más, el valor de las reservas naturales como Chipinque en la calidad de  vida de las personas.

¡Disfruta de talleres, rallys, recorridos una jornadas de  juego, y picnic en el bosque! Participa en las actividades sin costo extra al acceso  general

Además, si eres de los primeros en llegar te podrás  llevar una playera conmemorativa del #DíaChipinque 

Adquiere tus accesos y más información en nuestro  sitio web chipinque.org.mx #Chipinque #LaMontañaTeLlama",conocer programación agosto festival natural vivir sexta edicióe motivo aniversario parque ecológico chipinque celebemos juntos valor reservas naturales chipincar calidad vida personas participar actividades costo extra acceso generalademás sires llegar poder jugador conmemoratua adquiere acceso información sitio web festival natural chipincar chipincar montar llamar,665,369,"['FestivalNatural', 'DíaChipinque', 'Chipinque', 'LaMontañaTeLlama']","['festival', 'natural', 'chipincar', 'chipincar', 'montar', 'llamar']",[],[]
8,"the city of johannesburg at night, entertainment district, drone view of a city, russian orbit city cityscape, city at night, mini magic city, aerial photograph of skyscraper, city of towers, highrise business district, night city, american city, fantasy city, vibrant city lights, soaring above a dense city, cyber city, bird's eye view of a city",the city johannesburg night entertainment district dronir view city russiar orbit city cityscape city night mini magic city aerial photograph skyscraper city towers highrise business district night city american city fantasy city vibrant city lights soaring abovar dense city cyber city bird eye view city,347,305,"Dos Lagos
Laguna de Sanchez, Nuevo León

??

Visit Monterrey, México.

?? By: @pacoalvarez81",lagoslaguna sánchez león visita monterrey méxico,92,48,[],[],['pacoalvarez81'],[]
9,"a yellow poster with the words ' aler ' and ' i am ', taller than man, ultra hd detaling, coban, minimalissimo, miniature, cubo - futurism, cubo-futurism, ultra details, by Miltos Manetas, mega details, in an eco city, <3d eco brutalist, large medium and small elements",póster amarillo palabra aler alto hombre detalla ultra coban minimalissimo miniatura cubo futurismo cubo detalles ultra miltos manetas mega detalles ciudad ecológico eco brutalista pequeño elemento mediano pequeño elemento pequeño,269,230,"Deliciosas tostadas del mar ?? 
.
????Lunes a domingo
05:00 pm a 12:00 am
.
??Villa de Santiago.
.
?? 81 2470 0338 - 81 2236 1262
#monterrey #monterreynl #nuevoleon #mexico #Explorer #visitmonterrey #followme #ciudaddelasmontañas #Wanderlust #viajar #Traveling #monterreymexico #amomonterrey #travel 
#follow #Travelersnotebook #TravelPics #mty #nuevoleonmagico #travelgram
?? By: @losmentadosdevilla",deliciosas tostadas mar lunes monterrey monterreynl nuevoleon mexico explorer visitmonterrey followme ciudaddelasmontar wanderlust viajar traveling monterreymexico amomonterrey travel travelersnotebook travel pics mty nuevoleonmagico travelgram,400,244,"['monterrey', 'monterreynl', 'nuevoleon', 'mexico', 'Explorer', 'visitmonterrey', 'followme', 'ciudaddelasmontañas', 'Wanderlust', 'viajar', 'Traveling', 'monterreymexico', 'amomonterrey', 'travel', 'follow', 'Travelersnotebook', 'TravelPics', 'mty', 'nuevoleonmagico', 'travelgram']","['monterrey', 'monterreynl', 'nuevoleon', 'mexico', 'explorer', 'visitmonterrey', 'followme', 'ciudaddelasmontar', 'wanderlust', 'viajar', 'traveling', 'monterreymexico', 'amomonterrey', 'travel', 'travelersnotebook', 'travel', 'pics', 'mty', 'nuevoleonmagico', 'travelgram']",['losmentadosdevilla'],[]
