"prompt_original_en","descripcion_original_en","prompt_traducido_es","descripcion_traducida_es","prompt_procesado_es","descripcion_procesada_es"
"the ruins of chichena, maya temples, beautiful ancient ruins behind, white stone temple ruins, ancient ruins behind, ancient temple ruins, ancient city ruins, ancient ruins in the background, mayan, ruins in the background, standing before ancient ruins, ruins on the background, temple ruins, ancient ruins and waterfalls, ancient ruins behind her, archeological discover, large temples","La casa real sueca comparte esta bella imagen de los reyes, Carlos XVI Gustavo y Silvia, desde #Uxmal, para dar por terminada su visita oficial a nuestro país ???? ¡Qué guapos! ????????????

#VanidadesMx ?? @kungahuset","Las ruinas de Chichena, templos mayas, hermosas ruinas antiguas detrás, ruinas del templo de piedra blanca, ruinas antiguas detrás, antiguas ruinas del templo, antiguas ruinas de la ciudad, antiguas ruinas en el fondo, mayas, ruinas en el fondo, de pie ante antiguas ruinas, ruinas, ruinas de templo, ruinas, antiguas ruinas y cascadas, antiguas ruinas detrás de ella, descubrimiento arqueológico, temperaturas grandes, temperaturas, templos ruinas, ruinas de templo, antiguas ruinas y cascadas, antiguas ruinas detrás de ella, descubrimiento arqueológico, temperaturas grandes, temperaturas, templos ruinas, ruinas de templo, antiguas ruinas y cascadas, antiguas ruinas detrás de ella, descubrimiento arqueológico, templos grandes, temperaturas ruinas, templos, ruinas, antiguas ruinas y cascadas, antiguas ruinas detrás de su","La Casa Real Sueca Comparta Esta Bella Imagen de los Reyes, Carlos xvi Gustavo y Silvia, Desde #uxmal, Para Dar Por Terminada Su Visita Oficial A Nuestro País ????? ¡Qué Guapos! ?????????????

#Vanidadesmx ?? @kungahuset","chichena blanca ante cascadas ella descubrimiento arqueologico temperaturas grandes temperaturas cascadas ella descubrimiento arqueologico temperaturas grandes temperaturas cascadas ella descubrimiento arqueologico grandes temperaturas cascadas su","casa real sueca comparta bella imagen reyes carlos xvi gustavo silvia dar terminada oficial pais guapos van ida des mx"
"a man in a ham ham ham ham ham ham ham ham ham ham ham ham ham ham ham ham ham, yutja, ancient pyramid, victo nga, foto realista, pyramid in background, remedios varo uranga, travel ad, by Sergio LarraÃ­n, lost world pyramid, pyramid, real vintage photo, ancient megastructure pyramid","EXCAVACIONES ARQUEOLÓGICAS UXMAL??
Develando las Maravillas del México Antiguo.
¬¬¬¬¬¬¬¬¬¬¬¬¬¬¬¬¬¬¬¬¬¬
Yucatán, Mx.

Al sur de Yucatán emerge con espectacularidad la zona arqueológica de Uxmal, declarada por la UNESCO Patrimonio de la Humanidad.

Se trata de una de las zonas arqueológicas de la cultura maya cuya arquitectura es de las más majestuosas de Yucatán. Su belleza se caracteriza por tener palacios bajos y horizontales, colocados alrededor de patios o cuadrángulos, los cuales son ricos en decorados de esculturas muy detalladas elaborados con miles de pequeñas piedras perfectamente pulidas y ajustadas formando mosaicos geométricos de una perfección no igualada en toda la zona maya.

Se dice que la ciudad de Uxmal fue fundada por la tribu de los Xiues. La ocupación del sitio se remonta al Preclásico superior a.C., sin embargo el mayor volumen de la obra constructiva se realiza durante el Clásico Tardío (600- 1000 d.C.). Tuvo una población de 20,000 habitantes aproximadamente.

¬¬¬¬¬¬¬¬¬¬¬¬¬¬¬¬¬¬¬¬¬¬¬
""Nuestro pasado prehispánico más vivo que nunca""
¬¬¬¬¬¬¬¬¬¬¬¬¬¬¬¬¬¬¬¬¬¬¬
Sigan  Maravillas del México Antiguo / ADV Estudio","Un hombre en un ham Ham Ham Ham Ham Ham Ham Ham Ham Ham Ham Ham Ham Ham Ham Ham Ham, Yutja, Ancient Pyramid, Victo nga, Foto realista, pirámide en el fondo, Remedios Varo uranga, Viajes AD, por Sergio Larra, Lost World Pyramid, Pyramid, Real Vintage Photo, Ancient Pyramid Pyramid","Excavaciones arqueológicas uxmal ??
Develando Las Maravillas del México Antiguo.
¬¬¬¬¬va
Yucatán, mx.

Al Sur de Yucatán Emerge Con Eppectacularidad la Zona arqueológica de uxmal, Declarada por la UNESCO PATRIMONIO DE LA HUMANIDAD.

SE TRATA DE UNA DE LAS ZONAS ARQUEOLÓGICAS DE LA CULTURA MAYA CUYA ARQUITECTURA ES DE LAS MÁS MAJESTUOSAS DE YUCATÁN. Su belleza se Caracteriza por tener palacios Bajos y horizontales, Colocados Alrededo de patios o cuadrángulos, Los Cuales Son Ricos en decorados de escamas de escamas elaborados elaborados con millas de piqueñas Piedras Perfectamament Pulidas y Ajustadas Masacos millas Perfección No Igualada en Toda la Zona Maya.

Se Dice Que la Ciudad de Uxmal Fue Fundada Por la Tribu de Los Xiues. La Ocupacia del Sitio se remonta al preclásico Superior A.C., Sin embargo, el alcalde Volumen de la Obra Constructiva se Realiza Durante El Clásico Tardío (600-1000 D.C.). Tuvo una Poblacia de 20,000 habitantes de hábitantes.

¬¬¬¬¬¬¬¬¬iante
""Nuestro Pasado Prehispánico más Vivo Que Nunca""
¬¬¬¬¬¬¬¬¬iante
Sigan Maravillas del México Antiguo / Adv Estudio","ham yutja ancient pyramid victo nga realista remedios varo uranga viajes ad sergio larra lost world pyramid real vintage photo ancient pyramid","excavaciones arqueologicas develando maravillas mexico antiguo va mx sur emerge eppectacularidad declarada unesco patrimonio humanidad trata zonas arqueologicas cultura cuya arquitectura majestuosas belleza caracteriza tener palacios bajos horizontales colocados alrededo patios cuadrangulos cuales son ricos decorados escamas escamas elaborados millas piquenas piedras perfectamament pulidas ajustadas masacos millas perfeccion igualada toda dice ciudad fundada tribu xiues ocupacia sitio remonta preclasico superior a c sin embargo alcalde volumen obra constructiva realiza durante clasico tardio 600 1000 d c tuvo poblacia 20 000 habitantes habitantes iante pasado prehispanico vivo nunca iante sigan maravillas mexico antiguo adv estudio"
"a large stone building, taken on a 1960s kodak camera, taken on 1970s kodak camera, screenshot of found footage, color film still 1 9 7 7, levitating citadel, vhs footage still, screenshot from the 1983 film, 8 mm film still, still from a music video, ruins in the background","Inauguración del parque hundido del palomar ?? Uxmal","Un gran edificio de piedra, tomado en una cámara Kodak de la década de 1960, tomada en la cámara Kodak de los años 70, captura de pantalla de imágenes encontradas, película en color todavía 1 9 7 7, levitando ciudadela, metraje de VHS todavía, captura de pantalla de la película de 1983, 8 mm todavía, todavía de un video musical, ruinas, en el fondo de fondo.","Inauguracia del parque Hundido del Palomar ?? Uxmal","tomado camara kodak 1960 camara kodak anos 70 captura pantalla encontradas pelicula color todavia levitando ciudadela metraje vhs todavia captura pantalla pelicula 1983 mm todavia video musical","inauguracia parque hundido palomar"
"a group of people standing around a motorcycle, one motorbike in center of frame, auction catalogue photo, old photo from the 1930s, museum catalog photograph, ebay photo, 1970s philippines, motorcycles, museum archival photo, 1948, without helmet, 1961â, 1947, 1 9 4 7","","Un grupo de personas que se encuentran alrededor de una motocicleta, una moto en el centro del marco, foto de catálogo de subastas, foto antigua de la década de 1930, fotografía de catálogo de museos, foto eBay, Filipinas de los años 70, motocicletas, foto de archivo del museo, 1948, sin casco, 1961â, 1947, 1 9 4 7 7 7 7 7","","grupo personas se encuentran alrededor motocicleta moto centro marco catalogo subastas 1930 catalogo museos ebay filipinas anos 70 motocicletas archivo museo 1948 sin casco 1961a 1947 4",""
"a black and white photo of a dirt road, tribe huts in the jungle, mud and brick houses, 1970s photo, 1 9 7 0 s photo, 1970s, 1 9 7 0 s, c1976, las pozas, colombia en los aÃ±os 60, 1970s philippines","El imperio de Uxmal, Yucatán ??

Foto:@robertoestrada","Una foto en blanco y negro de un camino de tierra, Tribe Huts in the Jungle, Mud and Brick Houses, 1970s Foto, 1 9 7 0 S Foto, 1970S, 1 9 7 0 S, C1976, Las Pozas, Colombia en Los AJ ± OS 60, 1970S Filipinas, Filipinas","El Imperio de Uxmal, Yucatán ??

Foto: @robertoestrada","camino tierra tribe huts jungle mud brick houses 1970s 1970s s c1976 pozas colombia aj os 60 1970s filipinas","imperio"
"a building with a projection projected on it, projection design installation, colorful detailed projections, projection mapping, colored projections, colorful projections, walls of large moving images, digital walls, digital screens on the walls, mexican muralism ) ravi supa, palace background, wall darkness, a gigantic wall, wall, giant led screens, freddy mamani silvestre facade","Uxmal Mérida, Yucatán. Uxmal alcanzó su apogeo entre los siglos VII y X. Más tarde, a principios del II milenio, fue abandonada. La cd. está orientada según ciertos fenómenos astronómicos (como el movimiento de Venus) y adaptada a un terreno ondulado. El estilo constructivo de la ruta constituye toda una escuela arquitectónica dentro del arte maya y para muchos es el más sofisticado. La decoración es aquí especialmente rica y nos habla tanto de la importancia de estos poblados, como de la elaborada cosmogonía maya.","Un edificio con una proyección proyectada, instalación de diseño de proyección, coloridas proyecciones detalladas, mapeo de proyección, proyecciones de color, proyecciones coloridas, paredes de grandes imágenes en movimiento, paredes digitales, pantallas digitales en las paredes, el muralismo mexicano) Ravi Supa, el fondo de la pared, una oscuridad de la pared, una pared gigantes, paredes, gigantes de pantallas LED, freddy Mamani Silvestre Silvestre Fackeund Fondever","Uxmal Mérida, Yucatán. Uxmal Alcanzó Su Apogeo Entre Los Siglos Vii y X. Más Tarde, A Principios del II Milenio, Fue Abandonada. LA CD. Está Orientada Según Ciertos Fenómenos Astronómicos (como Movimiento de Venus) y Adaptada A Un Terreno Ondulado. El Estilo Constructivo de la Ruta Constituye Toda una Escuela Arquitectónica Dentro del Arte Maya y Para Muchos es El Más Sofisticado. La decoración de la Aquí Especialmental Rica y nos habla tanto de la importancia de Estos Poblados, Como de la elaborada cosmogonía maya.","proyeccion proyectada instalacion diseno proyeccion coloridas proyecciones detalladas mapeo proyeccion proyecciones coloridas paredes grandes movimiento paredes digitales pantallas digitales paredes muralismo mexicano ravi supa oscuridad paredes pantallas led freddy mamani silvestre fackeund fondever","merida alcanzo apogeo entre siglos vii x tarde principios ii milenio abandonada cd orientada segun ciertos fenomenos astronomicos movimiento venus adaptada terreno ondulado estilo constructivo ruta constituye toda escuela arquitectonica dentro arte muchos sofisticado decoracion aqui especialmental rica nos habla tanto importancia estos poblados elaborada cosmogonia"
"a car is parked in front of a large arch, imet2020, in a race competition, cinematographic wide angle shot, sun shines down on the car, cars and people, perseides meteor shower, coban, dakar rally footage, city of armenia quindio, renault ultimo, mexico, full view of a car, race","Uxmal 1929 fotografía del archivo personal de Miguel Quintal de #Muna ??","Un automóvil está estacionado frente a un arco grande, IMET2020, en una competencia racial, un disparo cinematográfico de gran angular, el sol brilla en el automóvil, los autos y las personas, la ducha de meteoritos de persecución, el metraje de Rally Dakar, la ciudad de Armenia Quindio, Renault Ultimo, México, Vista completa de un automóvil, carrera de carrera, carrera.","Uxmal 1929 Fotografía del Archivo Personal de Miguel Quintal de #muna ??","automovil esta estacionado frente arco grande imet2020 competencia racial disparo cinematografico angular sol brilla automovil autos personas ducha meteoritos persecucion metraje rally dakar armenia quindio renault ultimo mexico vista completa automovil carrera carrera","1929 archivo personal miguel quintal mun a"
"the ruins at tupi, maya temples, angkor wat, angkor thon, angkor, large temples, ancient city, ancient indonesia, ancient temple, temple run, mayan temple in the jungle, at an ancient city, ancient temple ruins, mysterious temple setting, sacred ancient architecture, white stone temple ruins, temples, temple background, ancient city of white stone","El Poderoso Adivino, Uxmal. ?
2023
instagram.com/oswaldomatu

@oswaldomatu","Las ruinas en Tupi, Maya Templos, Angkor Wat, Angkor Thon, Angkor, grandes templos, ciudad antigua, antigua Indonesia, Templo Antiguo, Templo Run, Templo Mayano en la jungla, en una ciudad antigua, ruisas del templo antiguo, misterioso templo, arquitectura sagrada antigua arquitectura, ruinas de templos de piedra blanca, templo, templo de fondo, antiguo templo de la templo de la piedra blanca.","El Poderoso Adivino, Uxmal. ?
2023
instagram.com/oswaldomatu

@oswaldomatu","tupi angkor wat angkor thon angkor grandes indonesia antiguo run mayano ruisas antiguo misterioso sagrada blanca antiguo blanca","poderoso adivino 2023 instagram com oswaldomatu"
"the ruins of the ancient city of ang ang ang ang ang ang ang ang ang ang ang ang ang ang, maya temples, mayan temple in the jungle, ruined temple covered with moss, huge old ruins, beautiful ancient ruins behind, ancient alien jungle, ancient ruins in the forest, huge giant old ruins, post apocalyptic ancient ruins, ancient city ruins, nature taking over","Muna Yucatán","Las ruinas de la antigua ciudad de Ang Ang Ang Ang Ang Ang Ang Ang Ang Ang Ang Ang, templos mayas, templo maya en la jungla, templo en ruinas cubierto de musgo, enormes ruinas antiguas, hermosas ruinas antiguas detrás, antigua jungla alien","Muna Yucatán","ang cubierto musgo enormes alien",""
"a plane flying in the sky, vibrant blue sky background, blue sky background, light blue sky, clean blue sky, pure blue sky, light blue clear sky, sky blue, solid blue background, blue and clear sky, clear summer sky background, blue clear sky, azure blue sky, azure sky tones, blue backdrop. hd, blue clear skies, clear blue sky","Circa 1900. Un lugareño observa con detenimiento la grandeza del Cuadrángulo de las Monjas de Uxmal, cuando literalmente se encontraba en ruinas. La vista es de Oriente a Poniente, desde una de las puertas colapsadas, cuyas vigas de madera que le daban soporte, sucumbieron con el tiempo o fueron robadas.
* * Fotografía reciente del lugar en los comentarios.

Fotografía original en blanco y negro editada, restaurada y coloreada digitalmente por @yucatanpasadoglorioso","Un avión que vuela en el cielo, el fondo vibrante del cielo azul, el fondo del cielo azul, el cielo azul claro, el cielo azul limpio, el cielo azul puro, el cielo azul claro claro, el cielo azul, el fondo azul sólido, el cielo azul y el cielo transparente, el fondo claro del cielo de verano, el cielo azul claro, el cielo azul azul, el cielo azul, los tonos azules, el fondo azul. HD, cielos azules azules, cielo azul claro","Alrededor de 1900. Un Lugareño Observa Con DetenImiento la Grandeza del Cuadrángulo de Las Monjas de Uxmal, Cuando Literal Se EnredaNAns en Ruinas. La Vista es de Oriente A Poniente, Desde una de Las Puertas Colapsadas, Cuyas Vigas de Madera que le Daban Soporte, Sucumbieron Con El Tiempo o Fueron Robadas.
* * Fotografía Recente del Lugar en Los Comentarios.

FotoGrafía original en Blanco y Negro Editada, Restaurada y Coloreada DigitalMenta por @yucatanpasadoglorioso","avion vuela cielo vibrante cielo azul claro cielo azul limpio cielo azul puro cielo azul claro cielo azul azul solido cielo azul cielo transparente claro cielo verano cielo azul claro cielo azul tonos azules azul hd cielos azules cielo azul claro","alrededor 1900 lugareno observa detenimiento grandeza cuadrangulo monjas literal enredanans ruinas vista oriente poniente puertas colapsadas cuyas vigas madera le daban soporte sucumbieron tiempo fueron robadas recente lugar comentarios original blanco negro editada restaurada coloreada digitalmenta"
