postUrl,description,commentCount,likeCount,location,locationId,pubDate,likedByViewer,isSidecar,type,sidecarMedias,caption,profileUrl,username,fullName,imgUrl,postId,query,timestamp,taggedFullName1,taggedUsername1,taggedFullName2,taggedUsername2,taggedFullName3,taggedUsername3,taggedFullName4,taggedUsername4,videoUrl,videoDuration,playCount,taggedFullName5,taggedUsername5,taggedFullName6,taggedUsername6,taggedFullName7,taggedUsername7,taggedFullName8,taggedUsername8,taggedFullName9,taggedUsername9,viewCount,taggedFullName10,taggedUsername10,,,,,,,,,,,,,,,,,,,,,No posts found
https://www.instagram.com/p/C8IkRBmPHvW/,"¡Habemus nuevo museo en #Mazatlán! ??

Se trata de #munba el nuevo museo que forma parte de los atractivos que ofrece el Observatorio Mazatlán 1873 y donde podrás conocer todo acerca del mamífero más grande del mundo ¡La ballena!

¿Qué te parece? ¿Irías a visitarlo? ??",1,107,,,2024-06-12T23:19:56.000Z,FALSO,VERDADERO,Carousel,9,,https://www.instagram.com/visit_mazatlan,visit_mazatlan,Visit Mazatlan,https://scontent-cdg4-2.cdninstagram.com/v/t39.30808-6/448306331_436270385831989_8944360833133328104_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=scontent-cdg4-2.cdninstagram.com&_nc_cat=101&_nc_ohc=UgJ5spWIEV8Q7kNvgE9n3vZ&edm=ACWDqb8AAAAA&ccb=7-5&ig_cache_key=MzM4OTExODIwNDIyNjY3NTE3MA%3D%3D.2-ccb7-5&oh=00_AYDCBNg5GS8PFo6fmnwv4oEhCBhfmqe1fkmm6CQJpZwing&oe=66737E40&_nc_sid=ee9879,3.39E+18,https://www.instagram.com/visit_mazatlan/,2024-06-15T16:15:35.738Z,,,,,,,,MAZATLÁN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No posts found
https://www.instagram.com/p/C8Hx_VlBmjT/,"?? ¡Descubre Mazatlán este FinD! ??

Te compartimos la #AgendaMZT ?? con eventos increíbles que no te puedes perder:

?? Conciertos
?? Presentaciones de danza
?? Masterclass

Todo esto en el hermoso puerto de #Mazatlán. ¡No hay excusa! Agéndalo y disfruta del lado cultural y artístico de nuestra ciudad. ???

#Mazatlán #Cultura #Arte #Eventos #FinDeSemana #Diversión #MazatlánEspectacular",0,10,,,2024-06-12T16:00:38.000Z,FALSO,FALSO,Photo,,"Photo by Visit Mazatlan on June 12, 2024. May be an image of magazine, pie, palm trees and text.",https://www.instagram.com/visit_mazatlan,visit_mazatlan,Visit Mazatlan,https://scontent-cdg4-2.cdninstagram.com/v/t39.30808-6/448165432_435557719236589_3612970837724239386_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyLmYzMDgwOCJ9&_nc_ht=scontent-cdg4-2.cdninstagram.com&_nc_cat=101&_nc_ohc=ZmxYLOM8gdoQ7kNvgEt1zi9&edm=ACWDqb8AAAAA&ccb=7-5&ig_cache_key=MzM4ODg5NzEwMTM5NTQyMTM5NQ%3D%3D.2-ccb7-5&oh=00_AYCJWq-3_I1YDg18uXHpRIMMByM9f0B-nA6ZLh-y2k3Lag&oe=6671A94B&_nc_sid=ee9879,3.39E+18,https://www.instagram.com/visit_mazatlan/,2024-06-15T16:15:35.738Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No posts found
https://www.instagram.com/p/C8DUEHZtyXY/,"#MazatlanLife ??

¿Sabías que…? En la esquina de Ángel Flores con Carnaval se encuentra una Galería de Arte que también es cafetería ??

Además puedes pedir informes y unirte a las clases de pintura que este espacio ofrece.

#CentroHistorico #Mazatlán #Arte",0,16,,,2024-06-10T22:22:10.000Z,FALSO,FALSO,Photo,,"Photo by Visit Mazatlan on June 10, 2024. May be art.",https://www.instagram.com/visit_mazatlan,visit_mazatlan,Visit Mazatlan,https://scontent-cdg4-2.cdninstagram.com/v/t39.30808-6/448085075_435074145951613_2022708761129981784_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi44MTB4MTAxMy5zZHIuZjMwODA4In0&_nc_ht=scontent-cdg4-2.cdninstagram.com&_nc_cat=101&_nc_ohc=A7e3uMskp5YQ7kNvgF3RdO9&edm=ACWDqb8AAAAA&ccb=7-5&ig_cache_key=MzM4NzYzOTU4ODQ2ODQ5OTkyOA%3D%3D.2-ccb7-5&oh=00_AYArCEXJqhETsEO_5vRruzRPwcam3L7O2WTyUK9myPONGA&oe=6671892F&_nc_sid=ee9879,3.39E+18,https://www.instagram.com/visit_mazatlan/,2024-06-15T16:15:35.738Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No posts found
https://www.instagram.com/p/C71wZ7eCk9L/,"?? ¡Mazatlecos y visitantes! ???

Te compartimos la #AgendaMZT para que elijas qué hacer en Mazatlán esta semana ??. ¡Tenemos un sinfín de eventos para ti! ??

?? Día de la Música ??
Destacamos la celebración del Día de la Música, que se llevará a cabo en los ya tradicionales cuatro escenarios ??. Disfruta de una variedad de géneros musicales que van desde el rock ?? hasta la tradicional banda ??.

Apunta bien ?? y ¡jálate a disfrutar de estos eventos imperdibles! ??????

#Mazatlán #EventosMZT #DíaDeLaMúsica #DisfrutaMazatlán #MúsicaParaTodos",0,29,,,2024-06-05T16:00:27.000Z,FALSO,VERDADERO,Carousel,2,,https://www.instagram.com/visit_mazatlan,visit_mazatlan,Visit Mazatlan,https://scontent-cdg4-1.cdninstagram.com/v/t39.30808-6/447664507_431384082987286_1285481234351139902_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=110&_nc_ohc=o70_LxTZ_u4Q7kNvgG6e_8f&edm=ACWDqb8AAAAA&ccb=7-5&ig_cache_key=MzM4MzgyMzU1MjYxMTk1ODMzNA%3D%3D.2-ccb7-5&oh=00_AYApO8WOO2vi6O3Y12hwu2QmlMfIs9WD0Yzl4MB__6lzxQ&oe=6673915A&_nc_sid=ee9879,3.38E+18,https://www.instagram.com/visit_mazatlan/,2024-06-15T16:15:35.738Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No posts found
https://www.instagram.com/p/C7mjcCqsluh/,"Se viene un fin de semana lleno de actividades en Mazatlán ???

Reunión gótica, exposiciones de arte, proyecciones de cine y hasta clases de astrofotografía ??

Añade la AgendaMZT de este FinD ????

#QueHacer #Mazatlan #FinD #Cultura #AgendaMZT",0,37,,,2024-05-30T18:18:32.000Z,FALSO,FALSO,Photo,,"Photo shared by Visit Mazatlan on May 30, 2024 tagging @museodeartedemazatlan, @pulquesdealturamazatlan, @ac.made, and @elmercadodelagatita. May be an image of magazine, poster, top and text.",https://www.instagram.com/visit_mazatlan,visit_mazatlan,Visit Mazatlan,https://scontent-cdg4-2.cdninstagram.com/v/t39.30808-6/445359933_428383546620673_6021323708709821995_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyLmYzMDgwOCJ9&_nc_ht=scontent-cdg4-2.cdninstagram.com&_nc_cat=101&_nc_ohc=BWMMDXNlWesQ7kNvgEckkEo&edm=ACWDqb8AAAAA&ccb=7-5&ig_cache_key=MzM3OTU0NDQyOTAyNTE4ODc2OQ%3D%3D.2-ccb7-5&oh=00_AYBrDCzM18Q4zO5FUKWjzyufWhi0xOZmIeh46AKS0t1YYQ&oe=66718670&_nc_sid=ee9879,3.38E+18,https://www.instagram.com/visit_mazatlan/,2024-06-15T16:15:35.738Z,Museo de Arte de Mazatlán,museodeartedemazatlan,Pulques de Altura Mzt,pulquesdealturamazatlan,MADE A.C.,ac.made,mercado de la Gatita,elmercadodelagatita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No posts found
https://www.instagram.com/p/C7PW7Rmu0l5/,"???? ¡Descubre la agenda cultural de Mazatlán! ?? Sumérgete en los eventos más emocionantes que el puerto tiene para ti. 

Prepárate y agéndalos con tiempo, ¡no te pierdas ninguno! ??? #Mazatlán #Cultura #Eventos",2,58,,,2024-05-21T18:06:40.000Z,FALSO,FALSO,Photo,,"Photo shared by Visit Mazatlan on May 21, 2024 tagging @culturamazatlan, @patioescobedo, @chiiiripa, and @interaccion_luciernaga. May be an image of magazine, poster, palm trees and text.",https://www.instagram.com/visit_mazatlan,visit_mazatlan,Visit Mazatlan,https://scontent-cdg4-2.cdninstagram.com/v/t39.30808-6/438092377_17974112117705052_5491740703977184986_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyLmYzMDgwOCJ9&_nc_ht=scontent-cdg4-2.cdninstagram.com&_nc_cat=100&_nc_ohc=SRjjtIMyCt8Q7kNvgGm4kpJ&edm=ACWDqb8AAAAA&ccb=7-5&ig_cache_key=MzM3MzAxNTQ3NjI5OTU4MTgxNw%3D%3D.2-ccb7-5&oh=00_AYDVfZcBn1YaJ5qTvYLOfcxseusPsnIUEWQZ-oKtQ81m3A&oe=66717AFB&_nc_sid=ee9879,3.37E+18,https://www.instagram.com/visit_mazatlan/,2024-06-15T16:15:35.738Z,Instituto de Cultura Mazatlán,culturamazatlan,PATIOESCOBEDO,patioescobedo,Chiripa Festival De Música y Arte,chiiiripa,Interacción Luciernaga ??????,interaccion_luciernaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No posts found
https://www.instagram.com/p/C6ymAwdpgkT/,"""¡Mazatlán, donde el cielo se funde con el mar en un abrazo de colores! ?? Disfrutar del atardecer aquí es como presenciar una obra maestra de la naturaleza en tiempo real. ¿Quién más ama perderse en estos tonos cálidos que pintan el cielo al final del día? ?? #AtardecerEnMazatlán #ParaísoMexicano""

Créditos: VivirEnMazatlán",1,219,,,2024-05-10T14:00:31.000Z,FALSO,FALSO,Photo,,"Photo by Visit Mazatlan on May 10, 2024. May be an image of beach, ocean, horizon, twilight, nature and water.",https://www.instagram.com/visit_mazatlan,visit_mazatlan,Visit Mazatlan,https://scontent-cdg4-1.cdninstagram.com/v/t39.30808-6/438300165_414165538042474_960936058065146057_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMjgweDcyMC5zZHIuZjMwODA4In0&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=110&_nc_ohc=QTqWSNLsCVkQ7kNvgF9WymB&edm=ACWDqb8AAAAA&ccb=7-5&ig_cache_key=MzM2NDkxOTA0OTQwMzYzMTg5MQ%3D%3D.2-ccb7-5&oh=00_AYC7chIPSc18TAOwxhDZkTHEuznRgNe7iQxKr7lGJXR7yg&oe=667197D7&_nc_sid=ee9879,3.36E+18,https://www.instagram.com/visit_mazatlan/,2024-06-15T16:15:35.738Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No posts found
https://www.instagram.com/p/C51rvTkxR66/,"??¡La tambora sinaloense sonará en Japón! ??

El próximo 4 de Mayo la también conocida como la madre de todas las bandas, “Banda El Recodo De Don Cruz Lizarraga”, llevará la musical regional sinaloense a la explanada de Odaiba, Tokio en punto de las 13:30 horas de aquel país. 

El evento es completamente gratuito y forma parte de las actividades del Festival “Camino a Latinoamérica” en donde participa la Embajada del Japón en México ???????? 

#BandaSinaloense #ElRecodo #Mazatlan #Japon",0,59,,,2024-04-16T22:16:53.000Z,FALSO,FALSO,Photo,,"Photo by Visit Mazatlan on April 16, 2024. May be an image of 3 people, poster and text that says 'FESTIVAL DE CAMINO A LATINOAMERICA ?5? ?????????????????? Banda BandaEL EL Recodo de Cruz Lizárraga 4 MAYO Ew ALAS 13:30pM ?? ? ? K JAPON SE PRESENTA ENLA EXPLANADA DE ODAIBA ?????BANDA??????? ??'.",https://www.instagram.com/visit_mazatlan,visit_mazatlan,Visit Mazatlan,https://scontent-cdg4-1.cdninstagram.com/v/t39.30808-6/438909896_401538339305194_3685571225567413900_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi45NjB4MTE3OC5zZHIuZjMwODA4In0&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=110&_nc_ohc=cCrl74NDlOIQ7kNvgEsOcwb&edm=ACWDqb8AAAAA&ccb=7-5&ig_cache_key=MzM0Nzc3NDI2NDg1MzIwODc2Mg%3D%3D.2-ccb7-5&oh=00_AYDKUTYo39s1YqcuxjXj3gVePzaAB4lWzqPYnF8NwF8BIg&oe=667198C9&_nc_sid=ee9879,3.35E+18,https://www.instagram.com/visit_mazatlan/,2024-06-15T16:15:35.738Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No posts found
https://www.instagram.com/p/C5hEoZ1IS50/,Así se vivió el Eclipse Total de Sol en Mazatlán este 8 de abril de 2024.,1,173,,,2024-04-08T22:10:35.000Z,FALSO,FALSO,Video,,,https://www.instagram.com/visit_mazatlan,visit_mazatlan,Visit Mazatlan,https://scontent-cdg4-3.cdninstagram.com/v/t51.29350-15/435708344_1441622140082610_3775727995709213848_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43MjB4MTI4MC5zZHIuZjI5MzUwIn0&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=106&_nc_ohc=TyH9KIMJ6BwQ7kNvgEOt9i6&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzM0MTk3Mjc2NzE4NTY0NTE3MjQzNDY3NjYxOTA5NTAzNw%3D%3D.2-ccb7-5&oh=00_AYBZg2vv4-rf6DSOLrKQLG3fQtLwARTRlGNXh3D_sR2UWw&oe=6671AC25&_nc_sid=ee9879,3.34E+18,https://www.instagram.com/visit_mazatlan/,2024-06-15T16:15:35.738Z,,,,,,,,,https://scontent-cdg4-2.cdninstagram.com/o1/v/t16/f1/m82/9D4F3DBB943A072E698DFB9F49216FB3_video_dashinit.mp4?efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_ht=scontent-cdg4-2.cdninstagram.com&_nc_cat=109&vs=384688874437291_3882139381&_nc_vs=HBkcFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC85RDRGM0RCQjk0M0EwNzJFNjk4REZCOUY0OTIxNkZCM192aWRlb19kYXNoaW5pdC5tcDQVAALIAQAoABgAGwAVAAAm9ITGmveWr0AVAigCQzMsF0BOBDlYEGJOGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX%2BBwA%3D&ccb=9-4&oh=00_AYBvjl512M3Lzk6n8uhudkb-nLaQwF9SOXKYYWWSNxfFJA&oe=66717F57&_nc_sid=ee9879,60.018,4853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No posts found
https://www.instagram.com/p/C5UG4SQPNQO/,Toma tus precauciones ???????,1,80,,,2024-04-03T21:19:52.000Z,FALSO,FALSO,Photo,,"Photo by Visit Mazatlan on April 03, 2024. May be an image of eclipse.",https://www.instagram.com/visit_mazatlan,visit_mazatlan,Visit Mazatlan,https://scontent-cdg4-2.cdninstagram.com/v/t39.30808-6/434961754_393825003409861_1739292440202862156_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyLmYzMDgwOCJ9&_nc_ht=scontent-cdg4-2.cdninstagram.com&_nc_cat=101&_nc_ohc=2KgM0-RBgJ4Q7kNvgEi0nxY&edm=ACWDqb8AAAAA&ccb=7-5&ig_cache_key=MzMzODMyMzQ3OTk1NzkxODczNA%3D%3D.2-ccb7-5&oh=00_AYBRa1LvwoHSVr7jUNVGu224UzPnsww_IulnJBIAMJDd9Q&oe=66718CA9&_nc_sid=ee9879,3.34E+18,https://www.instagram.com/visit_mazatlan/,2024-06-15T16:15:35.738Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No posts found
