postUrl,description,commentCount,likeCount,location,locationId,pubDate,likedByViewer,isSidecar,type,sidecarMedias,caption,profileUrl,username,fullName,imgUrl,postId,query,timestamp,videoUrl,videoDuration,playCount,viewCount,taggedFullName1,taggedUsername1,taggedFullName2,taggedUsername2,taggedFullName3,taggedUsername3,taggedFullName4,taggedUsername4,taggedFullName5,taggedUsername5,taggedFullName6,taggedUsername6,taggedFullName7,taggedUsername7,taggedFullName8,taggedUsername8,taggedFullName9,taggedUsername9,taggedFullName10,taggedUsername10,taggedFullName11,taggedUsername11,taggedFullName12,taggedUsername12,taggedFullName13,taggedUsername13,taggedFullName14,taggedUsername14,taggedFullName15,taggedUsername15,taggedFullName16,taggedUsername16,taggedFullName17,taggedUsername17,taggedFullName18,taggedUsername18,taggedFullName19,taggedUsername19,taggedFullName20,taggedUsername20,error,,
https://www.instagram.com/p/C8GHgzeBjnp/,"Puntadas en peligro de extinción????

En un mundo donde las técnicas de costura ancestrales se desvanecen, el artesano Pedro Mendoza se ha encargado de rescatar puntadas prehispánicas del olvido, su creatividad da vida a piezas únicas, preservando así un legado invaluable.

-
In a world where ancestral sewing techniques are fading, artisan Pedro Mendoza has taken on the task of rescuing pre-Hispanic stitches from oblivion. 
His creativity breathes life into unique pieces, thus preserving an invaluable legacy.

#Merida #tourism #mexico #visitmeridamx #travel #traditionalart",0,3,,,2024-06-12T00:30:13.000Z,FALSO,FALSO,Photo,,"Photo by Visit Mérida Mx on June 11, 2024. May be an image of 1 person, lace and stitching.",https://www.instagram.com/visitmeridamx,visitmeridamx,Visit Mérida Mx,https://scontent-ams2-1.cdninstagram.com/v/t39.30808-6/448273910_861144956045705_8640630357755848181_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi44Mjh4MTAzNS5zZHIuZjMwODA4In0&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_cat=105&_nc_ohc=8OLaFGhmyIwQ7kNvgHaMdlD&edm=ACWDqb8AAAAA&ccb=7-5&ig_cache_key=MzM4ODQyODgxMDI1NjI2Nzc1Mw%3D%3D.2-ccb7-5&oh=00_AYCrAz_yIFi4242XwDZrcxKRCgYvJBRU4MXHd7hqTqY8Nw&oe=6671B250&_nc_sid=ee9879,3.39E+18,https://www.instagram.com/visitmeridamx/?hl=es,2024-06-15T16:17:46.441Z,,,,,MÉRIDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/C7moNYppjIi/,"Un paseo por Mérida también es visitar sus al rededores??
Encontrarás una extensa variedad de cenotes que te cautivarán por su belleza única. 
El calor es la excusa perfecta para refrescarte en sus encantadoras aguas.

¡Realmente los cenotes son una experiencia inolvidable!

-

A walk through Mérida also means visiting its surroundings?? 

You will find a wide variety of cenotes that will captivate you with their unique beauty.
The heat is the perfect excuse to immerse yourself in its lovely waters.",2,3,,,2024-05-30T19:00:13.000Z,FALSO,FALSO,Photo,,"Photo by Visit Mérida Mx on May 30, 2024. May be an image of waterfall.",https://www.instagram.com/visitmeridamx,visitmeridamx,Visit Mérida Mx,https://scontent-ams4-1.cdninstagram.com/v/t39.30808-6/443698818_848182510675283_5274674048579429603_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzY1eDE3MDYuc2RyLmYzMDgwOCJ9&_nc_ht=scontent-ams4-1.cdninstagram.com&_nc_cat=111&_nc_ohc=VYkBLXGgOxcQ7kNvgFyPZME&edm=ACWDqb8AAAAA&ccb=7-5&ig_cache_key=MzM3OTU2NTQxMjA3MDMzOTEwNg%3D%3D.2-ccb7-5&oh=00_AYB7jqAWEG5YHFrbjXHHaML4VdLVHQqu3VMyYMin_46XFw&oe=667192A6&_nc_sid=ee9879,3.38E+18,https://www.instagram.com/visitmeridamx/?hl=es,2024-06-15T16:17:46.441Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/C7aSlF2i8Mt/,"¡Alerta antojitos!????

Descubre el auténtico placer de Yucatán con las piedras, una botana típica que combina una masa de maíz condimentada con relleno de frijol, acompañada de repollo fresco, cebolla y el toque picante del chile habanero.
Ufff, ¡ya se me antojó!

-
This is a tasty alert!????
Discover the authentic pleasure of Yucatan with stones, a typical snack that combines a seasoned corn dough with fillings such as beans, accompanied by fresh cabbage, onion and the spicy touch of the habanero.

Yummy!!",1,3,,,2024-05-26T00:00:21.000Z,FALSO,FALSO,Photo,,"Photo by Visit Mérida Mx on May 25, 2024. May be an image of gingerbread cookie.",https://www.instagram.com/visitmeridamx,visitmeridamx,Visit Mérida Mx,https://scontent-ams4-1.cdninstagram.com/v/t39.30808-6/441462834_847547030738831_4873575416485655018_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4yMDQ4eDEzNjUuc2RyLmYzMDgwOCJ9&_nc_ht=scontent-ams4-1.cdninstagram.com&_nc_cat=111&_nc_ohc=BGU-ng8Z6QwQ7kNvgG_3hCt&edm=ACWDqb8AAAAA&ccb=7-5&ig_cache_key=MzM3NjA5MjU4NDQwOTI4NTQyMQ%3D%3D.2-ccb7-5&oh=00_AYDDW82SISKHGMndhxqb1kapMe5ZWUgirXx9A0irULmzEw&oe=667191A4&_nc_sid=ee9879,3.38E+18,https://www.instagram.com/visitmeridamx/?hl=es,2024-06-15T16:17:46.441Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/C7NF_y2Bbfh/,"¡Es un Barrio Mágico! ??

El Barrio Ermita de Santa Isabel, ubicado en el corazón de Mérida, es un lugar icónico y único que ha sido parte integral de la cultura yucateca a lo largo de los años.
Sus calles adoquinadas serpentean entre hermosas hileras de casas, ofreciendo un paisaje arquitectónico variado y pintoresco que invita a perderse y explorar cada rincón.

El Barrio de la Ermita es un tesoro de Mérida que refleja la autenticidad y la belleza de la vida en Yucatán.

-
It's a Barrio Mágico!??

The Barrio Ermita de Santa Isabel, located in the heart of Mérida, is an iconic and unique place that has been an integral part of Yucatecan culture throughout the years.
Its cobblestone streets wind between beautiful rows of houses, offering a varied and picturesque architectural landscape that invites you to get lost and explore every corner.

The Barrio de la Ermita is a treasure of Mérida that reflects the authenticity and beauty of life in Yucatán.",1,165,,,2024-05-20T21:00:15.000Z,FALSO,VERDADERO,Carousel,3,,https://www.instagram.com/visitmeridamx,visitmeridamx,Visit Mérida Mx,https://scontent-ams2-1.cdninstagram.com/v/t39.30808-6/442405570_847504460743088_4067807494324905452_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_cat=108&_nc_ohc=yccwvRPbT34Q7kNvgGkejDz&edm=ACWDqb8AAAAA&ccb=7-5&ig_cache_key=MzM3MjM3ODA2MDc3MDA2MTYxMg%3D%3D.2-ccb7-5&oh=00_AYDyHDT4SNwiNzU0ROez5vtakxOCR--JJze0iwiXE8aHGg&oe=66739362&_nc_sid=ee9879,3.37E+18,https://www.instagram.com/visitmeridamx/?hl=es,2024-06-15T16:17:46.441Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/C7CyzncNlRj/,"¡Mérida es una verdadera chulada!??
La capital yucateca cautiva a cada paso gracias a su mezcla única de cultura, gastronomía, arte y tradición.
¡Esta ciudad lo tiene todo!

#mérida #yucatan #topyucatan #yucatanpeninsula #meridayucatan #aesthetic #travel #tourism #culture #visitmeridamx",3,384,,,2024-05-16T21:00:10.000Z,FALSO,FALSO,Photo,,"Photo by Visit Mérida Mx on May 16, 2024. May be an image of 5 people, outdoors, tower and palm trees.",https://www.instagram.com/visitmeridamx,visitmeridamx,Visit Mérida Mx,https://scontent-ams4-1.cdninstagram.com/v/t39.30808-6/436165951_844954164331451_6444311206957425946_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4yMDQ4eDEzNjUuc2RyLmYzMDgwOCJ9&_nc_ht=scontent-ams4-1.cdninstagram.com&_nc_cat=111&_nc_ohc=3GYFn1fr5uwQ7kNvgHxSfJ7&edm=ACWDqb8AAAAA&ccb=7-5&ig_cache_key=MzM2OTQ3ODkyMDU5NDY3NDc4Nw%3D%3D.2-ccb7-5&oh=00_AYDvSC3Sqnojg8UWa1o1UjK_KB347bZSO-lKgBxTFXDZFA&oe=667194E9&_nc_sid=ee9879,3.37E+18,https://www.instagram.com/visitmeridamx/?hl=es,2024-06-15T16:17:46.441Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/C69Nh-AgHsA/,"Santa Ana Market #antojitoyucateco #meridayucatan 
•
Open 7am-11:30pm
?? Calle 60 x 47 
•
@visitmeridamx #streetfoodmexico",2,3,Parque Santa Ana,5558689,2024-05-14T17:00:19.000Z,FALSO,FALSO,Video,,,https://www.instagram.com/midcitybeat,midcitybeat,?????????????????? ???????????? ?????? ????????????????,https://scontent-ams4-1.cdninstagram.com/v/t51.29350-15/443228123_352169084541375_7132920422776989693_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi45MDB4MTYwMC5zZHIuZjI5MzUwIn0&_nc_ht=scontent-ams4-1.cdninstagram.com&_nc_cat=103&_nc_ohc=tHrdeL2gxiIQ7kNvgEHvVib&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzM2NzkwNzYwNTI3MDc4ODg2NDQzMjQ4NTk1Mjc1MzMxMw%3D%3D.2-ccb7-5&oh=00_AYCFf8LRtLEPwB3KYWcJUD5NTQb_EWmWOprArAXDNU9fsQ&oe=6671B316&_nc_sid=ee9879,3.37E+18,https://www.instagram.com/visitmeridamx/?hl=es,2024-06-15T16:17:46.442Z,Visit Mérida Mx,visitmeridamx,,,,,,,https://scontent-ams4-1.cdninstagram.com/o1/v/t16/f2/m69/An9bPJuSWdhhSsMtJCGp5xd5cNvrD2Kuajk8vTQCUkByyEbUSejuleTsr001MXzhi0o_E05XBtq9NGJDMp0X8-T6.mp4?efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuMTA4MC5iYXNlbGluZSJ9&_nc_ht=scontent-ams4-1.cdninstagram.com&_nc_cat=107&vs=969931221585023_1947298690&_nc_vs=HBksFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HSXhUNlJNcl9TdEVBZ01PQUlkY2ZDdFo3QnduYnBSMUFBQUYVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dCX1A2UklnV2g5ZE82TU1BTGVqcHR4VEFXRU1icFIxQUFBRhUCAsgBACgAGAAbABUAACbivaHIieSRQRUCKAJDMywXQEcd0vGp%2B%2BcYFmRhc2hfYmFzZWxpbmVfMTA4MHBfdjERAHX%2BBwA%3D&ccb=9-4&oh=00_AYASDOCdlZN5Bum17ZGd9PGGMj6_fwuY9VyMa7_Xg3QyCg&oe=6671A1E5&_nc_sid=ee9879,46.233,8085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/C5hSz5fLTPT/,"La imponente arquitectura del Paseo de Montejo en Mérida, Yucatán | Museo Palacio Cantón (@mpalaciocanton) 

#merida #yucatan #topyucatan #yucatanpeninsula #meridayucatan #arquitetura #arquitectura #archidaily #archilovers #architecture #archiporn #aesthetic #????????? #destination #cityvibes #visitmeridamx",1,589,Museo Palacio Cantón,259339214,2024-04-09T00:14:15.000Z,FALSO,VERDADERO,Carousel,6,,https://www.instagram.com/topyucatan,topyucatan,TOP Yucatán - The Best of Yucatan (Magazine),https://scontent-ams4-1.cdninstagram.com/v/t39.30808-6/435688749_18292666576091039_1687666466455596722_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-ams4-1.cdninstagram.com&_nc_cat=111&_nc_ohc=scl6stBYIegQ7kNvgHxvyd9&edm=ACWDqb8AAAAA&ccb=7-5&ig_cache_key=MzM0MjAzNTExNzUyMDM4NjU4OA%3D%3D.2-ccb7-5&oh=00_AYCqHaQnD5DeedgYF9mekNSplh5nDG1Bk49hEPRg5sY1WQ&oe=6673A067&_nc_sid=ee9879,3.34E+18,https://www.instagram.com/visitmeridamx/?hl=es,2024-06-15T16:17:46.442Z,Visit Mérida Mx,visitmeridamx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/C44EeBOsnj-/,"Mérida, donde la música y la danza son parte de su identidad. ¡Déjate llevar por el ritmo y la alegría!, disfruta hoy de noche mexicana a las 8:00 pm en el remate de paseo montejo.
-
Mérida, where music and dance are part of its identity. Let yourself be carried away by the rhythm and joy! Enjoy Mexican night today at 8:00 pm at the Paseo Montejo auction.

Más información/ more info: https://visitmerida.mx/eventsVisit/eventsVisit/c720",0,60,,,2024-03-24T00:00:04.000Z,FALSO,FALSO,Photo,,"Photo by Visit Mérida Mx on March 23, 2024. May be an image of costume.",https://www.instagram.com/visitmeridamx,visitmeridamx,Visit Mérida Mx,https://scontent-ams2-1.cdninstagram.com/v/t39.30808-6/433465109_810087677818100_473609355755487065_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4yMDQ4eDEzNjUuc2RyLmYzMDgwOCJ9&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_cat=108&_nc_ohc=P3jt9EYIu8oQ7kNvgGW7n8o&edm=ACWDqb8AAAAA&ccb=7-5&ig_cache_key=MzMzMDQzMTU3OTUzMTE0NzUxOA%3D%3D.2-ccb7-5&oh=00_AYCau-0ZNndO9AznzGTXIiur3BYPvGr524Vp1tkx2SqAYA&oe=6671A811&_nc_sid=ee9879,3.33E+18,https://www.instagram.com/visitmeridamx/?hl=es,2024-06-15T16:17:46.442Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/C4rVLiurDNV/,"Las vaquerías de mi bella MÉRIDA

 @visitmeridamx",4,229,,,2024-03-19T01:18:11.000Z,FALSO,FALSO,Video,,,https://www.instagram.com/yucatecosviajeros,yucatecosviajeros,Yucatecos Viajeros,https://scontent-ams4-1.cdninstagram.com/v/t51.29350-15/433430259_1467854183843355_3346810187890424443_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDE5MjAuc2RyLmYyOTM1MCJ9&_nc_ht=scontent-ams4-1.cdninstagram.com&_nc_cat=103&_nc_ohc=yWKvwzhT-ukQ7kNvgGLsfiC&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzMyNjg0NTkwMTkyNDQ3OTgyOQ%3D%3D.2-ccb7-5&oh=00_AYCFhXD8Q_XY3ChWiZ2w8PufkKpzfOWtKp6r6mjHJBAzCA&oe=6671AE17&_nc_sid=ee9879,3.33E+18,https://www.instagram.com/visitmeridamx/?hl=es,2024-06-15T16:17:46.442Z,Visit Mérida Mx,visitmeridamx,,,,,,,https://scontent-ams4-1.cdninstagram.com/o1/v/t16/f2/m69/An_vgtfEhh-r7ilQ2NuLNXwAvM4GIefWYQq43I6IdrEj21RGz3WA5gyV1y1Ipi7wYLVXG9WKECgy1vBgDoUZKab2.mp4?efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuMTA4MC5iYXNlbGluZSJ9&_nc_ht=scontent-ams4-1.cdninstagram.com&_nc_cat=103&vs=1129556028176520_1048177764&_nc_vs=HBksFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HSUNXbUFCMkxFUkNyOHdDQUZlUTllMlk5N2NTYnBSMUFBQUYVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dOcUdLaE9LaXVqaHV5c2FBR3R4YTB0elY1RjhicFIxQUFBRhUCAsgBACgAGAAbABUAACbGudLjjJuEQBUCKAJDMywXQFLogxJul40YFmRhc2hfYmFzZWxpbmVfMTA4MHBfdjERAHX%2BBwA%3D&ccb=9-4&oh=00_AYBXIrkSbt4GCUDxtTv1vXI-0ARUEskY33giTvX4Xib9_A&oe=66717D0C&_nc_sid=ee9879,75.633,7007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/C4Y__sPr4qT/,"Merida Vibes ? Capital of Yucatan 

Discover the city in @visitmeridamx 

#merida #yucatan #meridayucatan #destination #photooftheday #instadaily #sunset #aesthetic #????????? #visitmeridamx #archilovers #architecture #archidaily #arquitectura",3,460,Mérida Yucatán,8.42E+14,2024-03-11T22:24:31.000Z,FALSO,FALSO,Photo,,Photo by TOP Yucatán - The Best of Yucatan (Magazine) in Mérida Yucatán with @visitmeridamx.,https://www.instagram.com/topyucatan,topyucatan,TOP Yucatán - The Best of Yucatan (Magazine),https://scontent-ams4-1.cdninstagram.com/v/t39.30808-6/430205093_18289658431091039_377523676779438226_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDEwODUuc2RyLmYzMDgwOCJ9&_nc_ht=scontent-ams4-1.cdninstagram.com&_nc_cat=111&_nc_ohc=RDv6W0Y8VXQQ7kNvgHgsNiP&edm=ACWDqb8AAAAA&ccb=7-5&ig_cache_key=MzMyMTY4NjE3ODk1MDc3NzQ5MQ%3D%3D.2-ccb7-5&oh=00_AYCBBYG0OzGA-C9AGiOHsQv_gctnFytwsBwgCrqiIvGNrw&oe=66719D6A&_nc_sid=ee9879,3.32E+18,https://www.instagram.com/visitmeridamx/?hl=es,2024-06-15T16:17:46.442Z,Visit Mérida Mx,visitmeridamx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
