postUrl,description,commentCount,likeCount,location,locationId,pubDate,likedByViewer,isSidecar,type,caption,profileUrl,username,fullName,taggedFullName1,taggedUsername1,taggedFullName2,taggedUsername2,taggedFullName3,taggedUsername3,imgUrl,postId,query,timestamp,sidecarMedias,taggedFullName4,taggedUsername4,videoUrl,videoDuration,playCount,taggedFullName5,taggedUsername5,viewCount,taggedFullName6,taggedUsername6,taggedFullName7,taggedUsername7,taggedFullName8,taggedUsername8,taggedFullName9,taggedUsername9,taggedFullName10,taggedUsername10,taggedFullName11,taggedUsername11,taggedFullName12,taggedUsername12,taggedFullName13,taggedUsername13,taggedFullName14,taggedUsername14,taggedFullName15,taggedUsername15,taggedFullName16,taggedUsername16,taggedFullName17,taggedUsername17,taggedFullName18,taggedUsername18,taggedFullName19,taggedUsername19,taggedFullName20,taggedUsername20,error
https://www.instagram.com/p/CcIUddXuCUI/,"Hidden in the middle of the Mayan jungle, there is a jewel. El Castillo in Chichen Itza. One of the 7 Wonders of the World. #ChichenItza #Yucatan #Mexico 
.
.
.
.
.
.
.
#Cancun #Tulum #Playadelcarmen #saturday #travel #nature #photography #travelphotography #love #photooftheday #instagood #travelgram #picoftheday #instagram #photo #beautiful #art #like #naturephotography #follow #wanderlust #happy #adventure #instatravel #fashion #travelblogger",44,7661,"Chichén-Itzá, Yucatan, Mexico",225654372,2022-04-09T12:17:13.000Z,FALSE,FALSE,Photo,,,,"Photo by Chichen Itza in Chichén-Itzá, Yucatan, Mexico.",https://www.instagram.com/chichenitza_,chichenitza_,Chichen Itza,,,,,,,,,https://scontent-cdg4-1.cdninstagram.com/v/t51.29350-15/277981708_470403798198495_5305565699003006297_n.webp?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4zODd4Mzg3LnNkci5mMjkzNTAifQ&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=103&_nc_ohc=EiOt4bfhBqgQ7kNvgHCfZ0N&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MjgxMjU4Nzk1MjYyNDM3OTE0NA%3D%3D.2-ccb7-5&oh=00_AYCSr7T2MJ9xxlLdXJcaRFW_pCw-ed2gHLVL0-TmLrmZqQ&oe=6670A43C&_nc_sid=ee9879,2.81E+18,https://www.instagram.com/chichenitza_/,2024-06-14T21:16:35.040Z,,,,,CHICHEN ITZÁ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/Cd8OWyuOPph/,"Kukulkan! The guardian of One of the 7 Wonders of the World: El Castillo. Chichen Itza is an impressive archaeological site of the Mayan world. #ChichenItza #Yucatan #Mexico 
.
.
.
.
.
.
.
#traveltuesday #Cancun #Tulum #Playadelcarmen #travel #nature #photography #travelphotography #love #photooftheday #instagood #travelgram #picoftheday #instagram #photo #beautiful #art #like #naturephotography #follow #wanderlust #happy #adventure #instatravel #fashion #travelblogger",33,7618,"Chichén-Itzá, Yucatan, Mexico",225654372,2022-05-24T12:35:47.000Z,FALSE,FALSE,Photo,,,,"Photo by Chichen Itza in Chichén-Itzá, Yucatan, Mexico.",https://www.instagram.com/chichenitza_,chichenitza_,Chichen Itza,,,,,,,,,https://scontent-cdg4-3.cdninstagram.com/v/t51.29350-15/283963387_695756974869923_4474884380299350630_n.webp?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEzMzcuc2RyLmYyOTM1MCJ9&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=111&_nc_ohc=Hg-MwVLrA6EQ7kNvgEpTh3i&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=Mjg0NTIxMjIwMzUzMzUzMTc0NQ%3D%3D.2-ccb7-5&oh=00_AYBb93nfm6vf_SCzlVPhZJKIP-I_faO0KDSBRBqAYNB3nw&oe=66708CD7&_nc_sid=ee9879,2.85E+18,https://www.instagram.com/chichenitza_/,2024-06-14T21:16:35.040Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CeOVOUgOCL6/,"There can be sun, rain, or wind... But you can't stop coming to Chichen Itza! An experience of a lifetime with One of the 7 Wonders of the World. #ChichenItza #Yucatan #Mexico 
.
.
.
.
.
.
.
#traveltuesday #Cancun #Tulum #Playadelcarmen #travel #nature #photography #travelphotography #love #photooftheday #instagood #travelgram #picoftheday #instagram #photo #beautiful #art #like #naturephotography #follow #wanderlust #happy #adventure #instatravel #fashion #travelblogger",49,8902,"Chichén-Itzá, Yucatan, Mexico",225654372,2022-05-31T13:22:07.000Z,FALSE,FALSE,Photo,,,,"Photo by Chichen Itza in Chichén-Itzá, Yucatan, Mexico.",https://www.instagram.com/chichenitza_,chichenitza_,Chichen Itza,,,,,,,,,https://scontent-cdg4-3.cdninstagram.com/v/t51.29350-15/284691453_589875238981055_2789961315770680538_n.webp?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEzMDMuc2RyLmYyOTM1MCJ9&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=111&_nc_ohc=pO2--eELX0YQ7kNvgFGJzH2&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=Mjg1MDMwODk1NzIzNjg5NjUwNg%3D%3D.2-ccb7-5&oh=00_AYD24D1tJR4NLV0L_pgz0zUcK0G-Dmy1cOiLpPcCTvz_3g&oe=66707D2F&_nc_sid=ee9879,2.85E+18,https://www.instagram.com/chichenitza_/,2024-06-14T21:16:35.040Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/C8NfA2JKUVh/,"En el corazón de Chichen Itzá, la serpiente emplumada, conocida como Kukulkán, cobra vida al atardecer. Este dios, que combina la majestuosidad de la serpiente y el quetzal, simboliza la unión de la tierra y el cielo. Durante los equinoccios, la sombra proyectada sobre la pirámide da la apariencia de una serpiente descendiendo, mostrando el avanzado conocimiento astronómico de los mayas.
.
In the heart of Chichen Itzá, the feathered serpent, known as Kukulkán, comes to life at sunset. This god, combining the majesty of the serpent and the quetzal bird, symbolizes the union of earth and sky. During the equinoxes, the shadow cast on the pyramid gives the appearance of a descending serpent, showcasing the advanced astronomical knowledge of the Maya.

#ChichenItza #Kukulkan #FeatheredSerpent #MagicalSunset #Equinox #MayaCulture #WorldHeritage #AncientMysteries #TravelMexico",0,16,,,2024-06-14T21:10:16.000Z,FALSE,FALSE,Photo,,,,"Photo by Chichen Itza on June 14, 2024.",https://www.instagram.com/chichenitza_,chichenitza_,Chichen Itza,,,,,,,,,https://scontent-cdg4-3.cdninstagram.com/v/t39.30808-6/447736768_516188087434175_8275190899862456682_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDgxMC5zZHIuZjMwODA4In0&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=111&_nc_ohc=3vJ19V8MoaYQ7kNvgGZ8OqH&edm=ACWDqb8AAAAA&ccb=7-5&ig_cache_key=MzM5MDUwMjQ5MjA1NzQ1MzkyMQ%3D%3D.2-ccb7-5&oh=00_AYCNKsdHAo7C-v6fiOZpucMB54vIsCcBVGqyMpMDNZWdNA&oe=66709A7A&_nc_sid=ee9879,3.39E+18,https://www.instagram.com/chichenitza_/,2024-06-14T21:16:35.040Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/C8Hz-KOpTmJ/,"𝗖𝗵𝗲𝗰𝗸𝗶𝗻𝗴 𝗼𝗳𝗳 𝗼𝗻𝗲 𝗼𝗳 𝘁𝗵𝗲 𝘀𝗲𝘃𝗲𝗻 𝘄𝗼𝗻𝗱𝗲𝗿𝘀 𝗼𝗳 𝘁𝗵𝗲 𝘄𝗼𝗿𝗹𝗱: 𝗖𝗵𝗶𝗰𝗵𝗲𝗻 𝗜𝘁𝘇𝗮! 🏛️✨ 𝗧𝗵𝗲 𝗮𝘄𝗲-𝗶𝗻𝘀𝗽𝗶𝗿𝗶𝗻𝗴 𝗮𝗿𝗰𝗵𝗶𝘁𝗲𝗰𝘁𝘂𝗿𝗲 𝗮𝗻𝗱 𝗿𝗶𝗰𝗵 𝗵𝗶𝘀𝘁𝗼𝗿𝘆 𝗺𝗮𝗸𝗲 𝗶𝘁 𝗮 𝗺𝘂𝘀𝘁-𝘀𝗲𝗲
•
#sevenwonders #chichenitza #yucatan #mexicotravel #riveriamaya #mayanruins #mayanpyramids #beautifuldestinations #wanderlust #travelblogger #bucketlist #historicalsite #mayanculture #visitmexico #travelinspiration #passionpassport #exploretheworld",1,3,Chichén Itzá,843439402,2024-06-12T16:52:11.000Z,FALSE,FALSE,Video,https://scontent-cdg4-3.cdninstagram.com/o1/v/t16/f2/m69/An8jPBAZXcqNkh21E7XNoStpniDVyaWZUZeirs0lkBbGpS4ldqoQkKNVFmK8A76fkePG54ToT33BOn64-nMEcUyV.mp4?efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuMTA4MC5iYXNlbGluZSJ9&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=111&vs=1010471284125744_304827529&_nc_vs=HBksFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HSUNXbUFDcVZ0SFQ0dWNCQUN5NFdzUnpUcW9qYnBSMUFBQUYVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dPZEd1UnJlelRfVlRyWUJBTVJGYnJmUDlBMExicV9FQUFBRhUCAsgBACgAGAAbABUAACawit2fgfXDPxUCKAJDMywXQFEMzMzMzM0YFmRhc2hfYmFzZWxpbmVfMTA4MHBfdjERAHX%2BBwA%3D&ccb=9-4&oh=00_AYC5T-W4zVUXEOa8YTeExoTxp-ecbD_RsXJWLKqnoxgOjQ&oe=66707828&_nc_sid=ee9879,68.2,1505,,https://www.instagram.com/xbean.c,xbean.c,sᴜʙɪɴ🌺,Mexico Travel,mexicotravel,BEAUTIFUL DESTINATIONS,beautifuldestinations,VisitMexico,visitmexico,Cancun | Mexican Caribbean,visitcancun,https://scontent-cdg4-1.cdninstagram.com/v/t51.29350-15/448326439_999268864884471_8959261211901932157_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMTY4eDIwNzIuc2RyLmYyOTM1MCJ9&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=103&_nc_ohc=6XbGpGWf9QgQ7kNvgFL-7Ya&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzM4ODkwNTgxNjU4MjMzODk1MzQzMjI2NzEzNjI3MzM0MQ%3D%3D.2-ccb7-5&oh=00_AYAqAbFnKXJuux5OAZ2HXHsNAQ4hyk9JBiceN2kz78klhQ&oe=66709F31&_nc_sid=ee9879,3.39E+18,https://www.instagram.com/chichenitza_/,2024-06-14T21:16:35.041Z,,México Travel Channel,mexicotravelchannel,Cancun Mexico 🇲🇽 Travel | Hotels | Food | Tips,cancun,Mexico City 🇲🇽 Travel | Hotels | Food | Tips,mexicocity.explore,Cancún,cancun_trips,Mexico | Hotels | Food | Guides,mexico,Chichen Itza,chichenitza_,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/C8H0OYEtRGP/,"🏞️✨ ¿Sabías que antes se podía escalar la majestuosa pirámide de Kukulkán en Chichen Itzá? 🌟 Para disfrutar al máximo la subida y evitar caídas, lo ideal era subir en diagonal. Este impresionante recorrido ofrecía una vista inigualable y una conexión única con la historia maya. ¡Una experiencia inolvidable para quienes lo lograron! 🏛️🌄
-------------------------------------------------
🏞️✨ Did you know that you could once climb the majestic pyramid of Kukulkan in Chichen Itza? 🌟 To fully enjoy the ascent and avoid falls, it was best to climb diagonally. This impressive journey offered an unparalleled view and a unique connection to Mayan history. An unforgettable experience for those who achieved it! 🏛️🌄

🌿🔍 #ChichenItza #Kukulkan #ClimbingThePyramid #LivingHistory #MayanCulture #Mexico #WorldHeritage #CulturalTourism #UnforgettableJourneys #DiscoverMexico #WondersOfTheWorld #HistoricalAdventures #EscalandoLaPirámide #HistoriaViva #CulturaMaya #PatrimonioMundial #TurismoCultural #ViajesInolvidables #DescubreMéxico #MaravillasDelMundo #AventurasHistóricas",59,1360,,,2024-06-12T16:20:09.000Z,FALSE,FALSE,Photo,,,,"Photo by Chichen Itza on June 12, 2024. May be an image of 5 people.",https://www.instagram.com/chichenitza_,chichenitza_,Chichen Itza,,,,,,,,,https://scontent-cdg4-1.cdninstagram.com/v/t39.30808-6/447740203_516187214100929_1638796337799311933_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43NjB4OTUwLnNkci5mMzA4MDgifQ&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=105&_nc_ohc=S0JIq3swjf4Q7kNvgGoplrp&edm=ACWDqb8AAAAA&ccb=7-5&ig_cache_key=MzM4ODkwNjkzMDk1OTYxODQ0Nw%3D%3D.2-ccb7-5&oh=00_AYBWj9ZcFngLV7madoc0Uf5UVdKPFuSSPZ_VeQWPCMzDYg&oe=66707EAE&_nc_sid=ee9879,3.39E+18,https://www.instagram.com/chichenitza_/,2024-06-14T21:16:35.041Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/C8DD0JDM2sE/,"El Chacmool es una figura enigmática y fascinante en la cultura maya, especialmente en Chichen Itzá. Representando una figura masculina reclinada con un cuenco sobre su abdomen, se utilizaba en rituales y sacrificios, actuando como intermediario entre los dioses y los hombres. Su presencia en templos como el de los Guerreros subraya su importancia en ceremonias sagradas, reflejando la sofisticación y espiritualidad de los mayas.

🔹 ¿Sabías que el Chacmool sostenía ofrendas y líquidos sagrados en su cuenco? Un testimonio de la profunda conexión espiritual de los mayas. 🔹

✨ ¡Descubre más sobre esta increíble figura en tu próxima visita a Chichen Itzá! ✨

---------------------------------

The Chacmool is an enigmatic and fascinating figure in Maya culture, especially in Chichen Itzá. Representing a reclining male figure with a bowl on his abdomen, it was used in rituals and sacrifices, acting as an intermediary between the gods and men. Its presence in temples like the Temple of the Warriors highlights its importance in sacred ceremonies, reflecting the sophistication and spirituality of the Maya.

🔹 Did you know that the Chacmool held offerings and sacred liquids in its bowl? A testament to the deep spiritual connection of the Maya. 🔹

✨ Discover more about this incredible figure on your next visit to Chichen Itzá! ✨

#ChichenItza #MayaMystery #Chacmool #MayaCulture #AncientHistory #TravelAndDiscover #WorldHeritage #HistoricAdventure #AncientMexico",3,724,,,2024-06-10T20:00:11.000Z,FALSE,FALSE,Photo,,,,"Photo by Chichen Itza on June 10, 2024. May be an image of monument.",https://www.instagram.com/chichenitza_,chichenitza_,Chichen Itza,,,,,,,,,https://scontent-cdg4-1.cdninstagram.com/v/t39.30808-6/447791809_516185637434420_3982559114742367221_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43MzZ4NDE0LnNkci5mMzA4MDgifQ&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=108&_nc_ohc=DeDZile6sxEQ7kNvgHJ5DWK&edm=ACWDqb8AAAAA&ccb=7-5&ig_cache_key=MzM4NzU2ODEyMTk4MjQ0NjM0MA%3D%3D.2-ccb7-5&oh=00_AYCTYf947lEI_c7Brtdea65Uurf92cY_nD-_SrNKWas1Uw&oe=66709CC0&_nc_sid=ee9879,3.39E+18,https://www.instagram.com/chichenitza_/,2024-06-14T21:16:35.041Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/C8CxD9zuCOB/,"✨ Y aquí empezó todo… #chichenitza 
.
.
.
.
.
.
.
.
.
#travel #holiday #mexico #chichenitzá #merida #yucatan #maya #mayas #historia #history #ruinas #piramides #mexicomagico #travelgram #travelphotography #happy #summer #vacation",11,313,"Chichén-Itzá, Yucatan, Mexico",225654372,2024-06-10T17:16:19.000Z,FALSE,FALSE,Photo,,,,"Photo by Roberto Macedonio in Chichén-Itzá, Yucatan, Mexico with @cancunchichenitza, @chichenitza.mx, and @chichenitza_. May be an image of 1 person.",https://www.instagram.com/rmacedonio_tv,rmacedonio_tv,Roberto Macedonio,Chichen Itza,cancunchichenitza,Chichen Itza Mexico,chichenitza.mx,Chichen Itza,chichenitza_,,,https://scontent-cdg4-3.cdninstagram.com/v/t51.29350-15/447997111_762464679398209_2256252104115363987_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyLmYyOTM1MCJ9&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=101&_nc_ohc=6T7z2JX5dP8Q7kNvgE0YnUc&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzM4NzQ4NTY0NjUzOTQ2NTYwMQ%3D%3D.2-ccb7-5&oh=00_AYBfJdqdPwKkJCD_uj1gNYtyYbC5eHFBWDi0b4zKVEY-CA&oe=6670813B&_nc_sid=ee9879,3.39E+18,https://www.instagram.com/chichenitza_/,2024-06-14T21:16:35.041Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/C74nT3GyyHg/,"UMA DAS 7 MARAVILHAS DO MUNDO ⬇️

Esta é a nossa primeira vez numa das 7 maravilhas do Mundo. Sim, é verdade, Roma é muito mais perto, mas nunca fomos lá 😂

O Chichén Itzá fica na Península de Yucatán e era um dos pontos que queríamos mesmo visitar durante a nossa viagem. 
Como atração turística que é, claro que os preços estão sempre inflacionados. Pagamos cerca de 35€ por pessoa. 
O recinto é muito grande e dentro dele também é possível ver varias ruínas de edificações que faziam parte desta grande cidade Maia, sendo a principal atração o templo de Kukulcán (a pirâmide central).

Que maravilhas do Mundo já visitaste?

One of the 7 Wonders of the World ⬇️

This was our first time visiting one of the 7 Wonders of the World. Yes, it’s true, Rome is much closer, but we’ve never been there 😂

Chichén Itzá is located in the Yucatán Peninsula and was one of the places we really wanted to visit during our trip.
As a tourist attraction, of course, the prices are always inflated. We paid around €35 per person.
The site is very large and within it you can also see several ruins of buildings that were part of this great Mayan city, the main attraction being the Kukulcán temple (the central pyramid).

Which Wonders of the World have you visited?

#valladolidyucatan #chichénitzá #chichénitzá #valladolidmexico #yucatan #yucatanmexico #mexico",32,223,Chichén Itzá,843439402,2024-06-06T19:06:50.000Z,FALSE,FALSE,Video,https://scontent-cdg4-3.cdninstagram.com/o1/v/t16/f2/m69/An9q19O3UcPRPzqlAmAZ3_gxYoE0ZotVI9ut-0SPXAF0weqYtquz1Dj4JwVNTJu5QODhhK2f9j1luO7vYXlQD72e.mp4?efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuMTA4MC5iYXNlbGluZSJ9&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=111&vs=1147945263117056_1225755040&_nc_vs=HBksFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HTjNpNVJPTld1N1FsdmtBQUVOU0VSc19xQ2dzYnBSMUFBQUYVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dQbHNzQnFuYjQ4ZlZGSUNBSjJkUkNGejBTSUpicV9FQUFBRhUCAsgBACgAGAAbABUAACbI1uGr5I2DQBUCKAJDMywXQCLul41P3zsYFmRhc2hfYmFzZWxpbmVfMTA4MHBfdjERAHX%2BBwA%3D&ccb=9-4&oh=00_AYC0bSAjYaEK_0lBr0uSYKJ98F0kg96QTAOJ7sKLwRh7SA&oe=66707529&_nc_sid=ee9879,9.466,5548,,https://www.instagram.com/minitraveling,minitraveling,Daniela & Miguel | Content Creators | Travel,México Travel Channel,mexicotravelchannel,Chichén Itzá Turismo,chichenitzaturismo,Cancun Mexico 🇲🇽 Travel | Hotels | Food | Tips,cancun,Mexico 🇲🇽 Travel | Hotels | Food | Tips,mexico.explores,https://scontent-cdg4-1.cdninstagram.com/v/t51.29350-15/447880686_1115876242824103_5006573254124995205_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4yMTYweDM4NDAuc2RyLmYyOTM1MCJ9&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=107&_nc_ohc=Wtvr9tP1vFMQ7kNvgFOctZj&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzM4NDYyODAwODYyMjY5NDg4MA%3D%3D.2-ccb7-5&oh=00_AYC7T7IENG3l81dbmXo0Sif4B3GKns-YFDX2K4xAOr0sBg&oe=667091E3&_nc_sid=ee9879,3.38E+18,https://www.instagram.com/chichenitza_/,2024-06-14T21:16:35.041Z,,Mexico | Hotels | Food | Guides,mexico,Chichen Itza,chichenitza_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/C7waaYluHwN/,"🇲🇽- Mexico- world 7 wonders - chichen itza - childhood dream - memories - on road 
______________________
AJ style 
#mexico #xico #m #a #cdmx #colombia #n #argentina #love #travel #chile #photography #venezuela #espa #usa #peru #instagood #instagram #art #o #photooftheday #like #ecuador #guadalajara #follow #brasil #mexicocity #nature #visitmexico #music",4,363,Mexico,567077758,2024-06-03T14:12:04.000Z,FALSE,TRUE,Carousel,,,,,https://www.instagram.com/ajay_joshua_aj,ajay_joshua_aj,Ajay Joshua AJ,Chichen Itza,cancunchichenitza,Chichen Itza,chichenitza_,,,,,https://scontent-cdg4-3.cdninstagram.com/v/t39.30808-6/447689572_18318377011179546_4175233012146652263_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=106&_nc_ohc=aju59AcxpqQQ7kNvgHO_ejg&edm=ACWDqb8AAAAA&ccb=7-5&ig_cache_key=MzM4MjMxOTQ3NTA0MTMwMDU3MA%3D%3D.2-ccb7-5&oh=00_AYAG2AD-2nMF_DX95hwhgeVivwRILCeVLweFpQu1Ic14MQ&oe=66729FE0&_nc_sid=ee9879,3.38E+18,https://www.instagram.com/chichenitza_/,2024-06-14T21:16:35.041Z,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
