descripcion_procesada_es,fuente,cluster,sentimiento,frame,subtopico
verano regreso vuelos directos desde monterrey playa solo dos horas frecuencias martes sabados vuelos durante julio agosto,post,7,NEU,NEUTRAL,-1
estas buscando proxima aventura verano vuela destino podras conectar naturaleza gastronomia sin igual conoce vuelos frecuencias nuestro destino tiene tus vacaciones,post,3,NEU,NEUTRAL,-1
presentamos calendario eventos proxos meses consulta ven gran varidad actividades tiene ti link bio https visitacapulco travel calendario eventos,post,2,NEU,NEUTRAL,-1
buenos dias desde bahia marques diam ante,post,5,NEU,NEUTRAL,-1
si lo buscas sacar lado explorador emprende recorrido isla roqueta conoce estevillo lugar capsula isla roqueta viaje fantastico entre estrellas cine naturaleza programa transmita visita explora tr adic ional,post,3,NEU,NEUTRAL,-1
buenos dias amigos ha llegado momento tradicional jueves pozolero,post,2,NEU,NEUTRAL,-1
exquisita gas trono mia tipica e internacional podras visita via jaco nor gull o,post,6,NEU,NEUTRAL,-1
buenos dias desde museo historico fuerte san diego cultura,post,2,NEU,NEUTRAL,-1
imaginado bellos colores atardecer junto tus seres queridos amigos celebando amor ven magia sus atardeceres via jaco nor gull o,post,8,NEU,NEUTRAL,-1
atardeceres hijo momentos llenos magia tranquilidad nos permiten apretiar belleza naturaleza espectaculo via jaco nor gull o,post,8,NEU,NEUTRAL,-1
buenos dias desde via jaco nor gull o,post,5,NEU,NEUTRAL,-1
visita puertio dejes ver espectaculo 80 anos tradicion clav dist quebrada guerrero via jaco nor gull o,post,2,NEU,NEUTRAL,-1
explora riqueza natural emocionante recorrido isla roqueta admira hermanasas vistas mientras adentras sus sreaderos rodeados vegetacion tropical verano esperamos via jaco nor gull o tr adic ional,post,3,NEU,NEUTRAL,-1
buenos dias desde laguna coyuca pie cuesta pie dela cuesta enamor ate,post,7,NEU,NEUTRAL,-1
pie cuesta mundialmento famosa sus inigualables puestas visitanos sorprendentes colores pie dela cuesta enamor,post,2,NEU,NEUTRAL,-1
enamorate despierta sonido olas mar maravillos amanederes bahia ofrece sera expencia querras repetir otra vez,post,4,NEU,NEUTRAL,-1
buenos dias desde playa palmitas isla roqueta,post,1,NEU,NEUTRAL,-1
sera nuevo lugar favorito atardeceres sobre mar sabes lugar habar,post,1,NEU,NEUTRAL,-1
tus proximas vacantes apravecha promociones descuentos cuponera restaurante tienen ti link bio https visitacapulco travel cuponera restaurantes,post,2,NEU,NEUTRAL,-1
excelente clima playas arena dorada esperan,post,1,NEU,NEUTRAL,-1
buenos dias desde jardin secro centro holistico mx play bon fil diam ante,post,3,POS,NEUTRAL,-1
cuerpo pide descanso destino ideal olvidarte estres descansar unos dias llenos atardeceres inolvidables sonido mar mejor gastronomia bahia hermosa mundo diversion,post,3,POS,NEUTRAL,-1
buenos dias desde playa angosta tr adic ional,post,1,NEU,NEUTRAL,-1
mar llama pie cuesta espera dice pie dela cuesta enamor ate,post,5,NEU,NEUTRAL,-1
explora maravillas submarinas oceano pacifico descubre mundo lleno color vida ya mares principiante experto podras opciones incontrar todos niveles dificultad pero si buscas entorno tranquilo realizar esta actividad sen duda recomendamos visitar isla roqueta momentos emocion aventura aventura,post,3,NEU,NEUTRAL,-1
buenos dias amigos ha llegado momento tradicional jueves pozolero,post,2,NEU,NEUTRAL,-1
si regreso vuelos internacionales indicador recuperacion destino entonces futuro brillante destino vacaciones original jet set revista enlace https www travelagewest com travel travel,post,5,POS,NEUTRAL,-1
belen nos comparte su experiencia quien nos visita desde ciudad guadalajara recuerda puedes viajar todos dias guadalajara volando,post,3,NEU,NEUTRAL,-1
