descripcion_procesada_es,fuente,cluster,sentimiento,frame,subtopico
bienvenidos nueva era bienvenido nueva era via jar turismo,post,9,NEU,NEUTRAL,-1
bienvenido nueva era paraiso disfrute 12 destinos increibles llenos experiencias desconecte playas inspirese maravillas naturales pero sobre todo celebra vacation explore adventure beach life getaway,post,9,NEU,NEUTRAL,-1
explora descubre lugares iconnicos boulevard lleno monumentos enigmaticos elementos pintorescos paso tiempo han convertido spots imperdibles ciudad explore descubra lugares iconicos boulevard lleno monumentos intrigantes elementos pintorescos han convertido lugares imperdibles ciudad tiempo 8 boulevard iconic places inspiration city exploration must see spots,post,6,NEU,NEUTRAL,-1
regala puestas sol caladoscopicos cadada tarde acompana paseo bicicleta tarde cer empieza coleccion paisajes inolvidables trata puestas sol caleidoscopicas todas noches mejore bicicleta largo sunset comience coleccion paisajes inolvidables sunset lovers bike ride inspiration evening views,post,6,NEU,NEUTRAL,-1
descubre otro portales natures podras cruzar huay pix dale estas listo proxima escapada vigorosa paraino agua dulce descubra otro portales naturales puede cruzar huay pix llegue fue listo proxima escapada vigorizante paraiso agua dulce 26 hua y pix cameron hua y pix getaway goals freshwater adventure time,post,3,NEU,NEUTRAL,-1
paraiso repleto fauna multifacetica descubre criaturas enigmaticas anhinga americana ave majestuosa podras admirar persona prestas cuidadosa atencion alrededores paraiso lleno vida silvestre multifacetica descubra criaturas intrigantes american anhinga pajaro majestuoso admirar persona prestas mucha atencion entorno wildlife birdwatching lovers inspiration explore,post,3,NEU,NEUTRAL,-1
explora alrededores sumergete serenidad laguna xul ha encontraras cabanas ecologicas hospederte hermosos rincones regalaran inolvidable explore alrededores sumerjase serenidad laguna xul ha encontrara cabanas ecologicas quedarse hermosos detalles haran inolvidable 34 xul ha laguna xul ha eco lodging inspiration retreat serenity,post,3,NEU,NEUTRAL,-1
cocodrilo dorado sitios miteriosos cerca trata cenote antiguo comportame abierto explorar distintas maneras atreverias flotar enigmias aguas cocodrilo dorado sitios misteriosos cerca antiguo cenote completamente abierto cielo explorar manera diferente atreverias flotar enigmaticas aguas union 2 horas 22 cenote coco dr ilo dina do jpr foto cenote adventure explore lovers goals,post,3,NEU,NEUTRAL,-1
descubre nuestras maravillas casi oculas entre prodigiosa selva escalibanche sitios arqueologicos mayas importante acordgara toque histia enigmatica vacantes descubre nuestras casi maravillas ocultas dentro prodigiosa jungla encuentra dzibanche sitios arqueologicos mayas importantes agregara toque misteriosa vacaciones 1 hr 15 d zi ban che ar lae ology history ancient ruins,post,6,POS,NEUTRAL,-1
somos punto partida hacia inolvidable muy cerca encontraras joyas menos hora distancia guarda post agregalo itinerario somos punto partida hacia inolvidable muy cerca encontraras gemas menos hora distancia guarde publicacion agreguela itinerario 45 bac lar inspiration vacation goals,post,6,NEU,NEUTRAL,-1
busca nuevo portales tiene oido hablar union estevilloso ofrece vivir aventura recorrer rio hondo kayak practicar streerismo acamp muy vale pena pues dos horas investigacion nuevos portales alguna vez ha oido hablar union maravilloso salir diferentes aventuras kayak rio hondo hiking acampando mucho realmente vale pena ya 2 horas gram vibes beach life turquoise waters explore,post,9,NEU,NEUTRAL,-1
rodeate muy cerca zona ar o logic oxtankah dispuesta mostrarte todos pasajes historicos civilizacion habito zona antiguedad listo expediciotica sitio arqueologico ox tanka h listo mostrarle toda grandeza historica civilizacion vivia antiguedad muy cerca listo expedicion 31 ox tanka h via jes gram,post,5,NEU,NEUTRAL,-1
inicia empieza recorrido tomate tiempo admirar planea siguiente aventura comienza comienza recorrido tomese tiempo admirar planifique proxima aventura adventures explore cte tuma l tourist spot discover inspiration must places,post,9,NEU,NEUTRAL,-1
buscando nuevo portales encontraras rapidos ubican 38 minutos canal divide laguna xul ha bac lar permitiendo formen corrientes parecidas rio llleva cristalina agua color tortura buscando nuevos portales encontrara rapidos estan ubicados 38 minutos canal divide laguna xul ha bac lar lagoon permite formen corrientes similares rio transporta agua turquesa cristalina life diaries dreaming inspired adventure seeker,post,3,NEU,NEUTRAL,-1
modo explorador activado dedicate contratrario rincones secretos algunos tienen vista regalaran paisajes tan maravillosos modo explorador busque lugares secretos algunos pasan alto ofrecen puntos vista tan asombrosos panoramic view lovers coastal beauty scenic photography,post,9,NEU,NEUTRAL,-1
pequeno paraiso todos aman definiria calder it pueblo pesquero perfecto disfrutar tarde toda familia inclusion componeros cuatro patas pequeno paraiso todos aman definiriamos calder it pueblo pesquero perfecto pasar tarde toda family incluso companeros cuatro patas 15 calderitas panoramic view lovers coastal beauty scenic photography,post,3,NEU,NEUTRAL,-1
gusta bu ceo tienes descubrir portal otro mundo joya cuando trata explorarlo sitio podras comprobar cerca parque nacional prepara xcalak iso buzos maravilloso sea verdadera joya cuando trata explorarla comenzar cerca parque nacional reefs xcalak buzos 3 h 40 xc lak adventure outdoor fun adventure ale waits explore outdoors excursions adventure,post,3,NEU,NEUTRAL,-1
portales cerca cuentan historias dzibanche enigmatica sitio arqueologico dejar visitar quieres entrante mejor nombre hace referencia dinteles madera fueron encontrados portales cercanos cuentan historias d zi ban che sitio arqueologico enigmatico puede perderse desea comprender mejor culture nombre refiere dinteles madera encontraron 1hr 30 d zi ban che explore tourist spot discover inspiration must places,post,6,NEU,RESPONSABILIDAD,-1
explor alla vale pena dias soleados sobre aguas translucidas laguna siete colores invitan conocerla diferentes formas recorre todos rincones explorar beyond realmente vale pena dias soleados sobre aguas translucidas laguna siete colores invitan explorarlo diferentes maneras descubre todos encantos 36 bac lar xi bac alarm eco gram reels,post,3,NEU,NEUTRAL,-1
rincon paz corazon hua y pix laguna milagros maravilla cerca encontraras pequenos hoteles hospederte comer delicias regales anadela itinerario vije oasis paz corazon hua y pix laguna milagros maravilla natural cerca encontrara pequenos hoteles puede quedarse comer delicias regionales agregalo itinerario 25 laguna milagro s life diaries dreaming inspired food ie,post,3,NEU,NEUTRAL,-1
sabias manatias hijo herbivoros estos nobles mamiferos marinos pasan mitad masticando aproximado 50 kilos hierbas animate bucear aguas quiza tengas sureta encontrarte sabias manaties son herbivoros estos maravillosos mamiferos marinos pasan mitad masticando 100 libras pastos marinos sumergete aguas posible tengas suerte encontrar in blue world adventure outdoor fun adventure ale waits explore outdoors excursions adventure,post,3,POS,NEUTRAL,-1
sientes esa paz tomate minuto imaginar despiabas sientas contemplar maravilloso paisa je laguna milagros paraiso 25 minutos tomese minuto imaginarse despertarse sentarse disfrutar maravilloso paisaje laguna milagros paraiso 25 minutos sentir esa paz hua y pix via jes gram travels els,post,3,NEU,NEUTRAL,-1
explora paraisos cercanos llevate suencia bonito comar artesanias lllevas casa algo hecho manio materiales zona visitas llevate detallle recuerde explore paraisos cerca tome esencia usted comprar artesanias llevas casa algo hecho mano materiales locales usted quitate recuerdo recuerda 2 horas maha hu cultural exploration authentic experience local traditions history cultural immersion,post,6,NEU,NEUTRAL,-1
azules inolvidables descubiras todas aguas turquesas provienen nuestra riqueza natural tan vasta aquiqui encontraras joyas laguna milagros 25 minutos descubriras todas aguas turquesas estan nuestra riqueza natural tan vasta encontraras gemas laguna milagro s 25 minutos hua y pix life diaries inspired adventure seeker explore more,post,3,NEU,NEUTRAL,-1
momeros magia pudieramos destacar regalos preciados nos da seria sin duda tarde ceres despide asombro corazon pudieramos nombrar regalos preciosos ofrece s bay definitivamente seria sunsets termina asombro corazon gram sunset magic golden hour,post,6,NEU,NEUTRAL,-1
maravilloso pasado tiempo parece detenerse nararrarnos traves instantes resguardos estilo anglo caribeno casa cronica 100 anos recuerdos esperan maravilloso pasado tiempo parece detenerse narrar traves momentos conservados estilo anglo caribeno casa cronica,post,9,NEU,NEUTRAL,-1
atention amantes encantadora villa pescadores calder it ideal abreciar vida silviors prepara binoculares atencion birdwatching lovers encantador pueblo pesquero calder it ideal apreciar wildlife trae binoculares 16 calder it,post,1,POS,NEUTRAL,-1
hace cuanto diviertes fuyeras nino vida tan relajada blanca arena bajo pies columpios madera permitiran volver sentirte cuanto tiempo ha pasado divertido fueras nino vida tan relajada arena blanca debajo pies columpios madera permitiran sentirte nuevamente 1 hr 47 maha hu masetto,post,2,NEU,NEUTRAL,-1
amor primera vista aerea cuanto veas paisaje inmediato sabras mejores vacantes vida estan iniciar listo entar nueva era amor primera vista arriba tan pronto vea paisaje sabra mejores vacaciones vida estan punto comenzar listo ingresar nueva era rams mkt,post,2,NEU,NEUTRAL,-1
emblemarto guardian maya fiel vigilante tiempo imponente toolok iguana maya observa paradisiaco entorno invita disfrutar vida silviors sorprendas durante paseo estos inofensivos guardianes cruzan camino ensbrematico maya guardian fiel vigilante tiempo imponente toolok iguana maya observa entorno paradisiaco invita disfrutar tanto vida silvestre sorprenda durante caminata estos inofensivos guardianes encuentran camino,post,3,POS,NEUTRAL,-1
naturaleza llama descubre riqueza natural laguna guerrero amigables criaturas recordaran ademas ser santuario manati hogar muchas hermosas especies llamando descubre riqueza natural laguna guerrero criaturas amigables recordaran ademas ser santuario manaties hogar muchas especies hermosas 36 laguna guerrero,post,3,NEU,NEUTRAL,-1
tenacidad contra viento marea simbolo fuerza supervivencia monumento renacimiento emerge entre boulevard iluminando noche descubre simbolo fuerza supervivencia monumento renacentista emerge entre boulevard iluminando noche descubre,post,3,NEU,NEUTRAL,-1
sececores 30 minutos encuentra chorro juan sarabia alberca natural aguas cristalinas podras acriscarte rodeado frontosa vela vegea agregalo itinerario via je secretos 30 minutos puede encontrar chorro juan s arabia piscina natural aguas cristal puede refrescarse rodeada exuberante vegetacion agregalo it in era rio,post,3,NEU,NEUTRAL,-1
adivinas escultura dimos par pistas camino largo recorre regalandote hermosos paisajes vistago vistazo otros monumentos historicos deja respuesta comentarios adivinar encuentra escultura le daremos par pistas camino largo corre largo tratandolo hermosos paisajes idea otros monumentos historicos deja respuesta comentarios,post,6,NEU,NEUTRAL,-1
navega traves maravilla videos somestoriesneverend nos muestran laguna deja duda alguna sobre indescriptible riqueza natural recorre cenotes canales disfrutando eross paisajes dejaran sin aliento navegar traves maravilla videos somestoriesneverend muestranos laguna deja dudas sobre indescriptible riqueza natural visite cenotes canales disfrutan estos paisajes le dejaran sin aliento 36 bac lar,post,3,NEU,NEUTRAL,-1
hogar historias museo faro gran peso historico cuya exposicion dedicada preservacion legado nautico hay dejes visitarlo museo lighthouse interesante cuya exposicion dedicada preservacion legado nautico asegurese visitar,post,6,NEU,NEUTRAL,-1
paisajes sur presenta huay pix pequeno paraiso 20 minutos espera aunque poco concurrida encontaras acogedores espacios todas comodidades pasar gran menciona persona iras paisajes sur presentes huay pix pequeno paraiso 20 minutos lies pesar maravilla fuera comun encontrara lugares acogedores todas comodidades necesarias tener gran etiqueta persona unira usted,post,6,NEU,NEUTRAL,-1
nuevo camino recorrer nuestro iconico uct tambien ser largo todo nuevo camino viajar nuestro iconico famoso monumentos historicos hermosos paisajes tambien debe largo todo diana ortega x,post,9,NEU,NEUTRAL,-1
buen descansar alternativa hospedaje son uct buena alternativa alojamiento son parques trailer ademas ofrecer hermosas instalaciones orillas tienen todas comodidades necesita 16 calder it,post,6,NEU,NEUTRAL,-1
amanceres roban aliento testigo recuerda programar alarma disfrutar spectaculo impresionantes amaneceres sea testigo pinta cielo todas mananas iluminando recuerde establecer alarma disfrutar espectaculo,post,0,NEU,NEUTRAL,-1
aventurate cruzar portal descubre mundo ancestral conoce origen civilizacion sabia abre puerta multiverso paraisos llenos naturaleza aprenda pasado abraza era nueva,post,9,NEU,NEUTRAL,-1
descubra tranquila parque rena cimi to ubicado largo boulevard parque sereno celebra renacimiento ciudad conmovedora escultura mujer representa huracan janet acunando recien nacido poderoso simbolo resistencia renovacion ciudad perfecto paseo familiar pacifico daniel aps here begins gods culture family time,post,5,NEU,NEUTRAL,-1
imagina rincon ha sido disenado pensando magia momentos comparte eso calder it ubicado 8 kilomanos ideal pasar momentos agradables disfrutando mejores marisss zona perder fb souvenir desconocido qui in ici dios sabor,post,8,POS,NEUTRAL,-1
explore nuestro tercer itinerario guiandote traves gemas sur riqueza cultural hasta impresionante laguna playas intactas espiritu aventurero mayak an guia boleto paraisos ocultos escapadas serenas espanol explores discover maha hu bac lar family adventure awaits,post,9,NEU,NEUTRAL,-1
revela encanto pan u cho joya culinaria nuestra region imagine tortillas maiz perfectas frijoles refritos cremosos fritos perfeccion cubierto salsa picante carne tierna verduras picantes escabeche bocado estalla sabores mayas sumergete sensacion sabor fb hanal k u restaurant restaurante qui in ici dios sabor,post,8,NEU,NEUTRAL,-1
