descripcion_procesada_es,fuente,cluster,sentimiento,frame,subtopico
casa real sueca comparta bella imagen reyes carlos xvi gustavo silvia dar terminada oficial pais guapos van ida des mx,post,1,NEU,NEUTRAL,-1
excavaciones arqueologicas develando maravillas mexico antiguo va mx sur emerge eppectacularidad declarada unesco patrimonio humanidad trata zonas arqueologicas cultura cuya arquitectura majestuosas belleza caracteriza tener palacios bajos horizontales colocados alrededo patios cuadrangulos cuales son ricos decorados escamas escamas elaborados millas piquenas piedras perfectamament pulidas ajustadas masacos millas perfeccion igualada toda dice ciudad fundada tribu xiues ocupacia sitio remonta preclasico superior a c sin embargo alcalde volumen obra constructiva realiza durante clasico tardio 600 1000 d c tuvo poblacia 20 000 habitantes habitantes iante pasado prehispanico vivo nunca iante sigan maravillas mexico antiguo adv estudio,post,1,NEU,NEUTRAL,-1
inauguracia parque hundido palomar,post,1,NEU,NEUTRAL,-1
imperio,post,8,NEU,NEUTRAL,-1
merida alcanzo apogeo entre siglos vii x tarde principios ii milenio abandonada cd orientada segun ciertos fenomenos astronomicos movimiento venus adaptada terreno ondulado estilo constructivo ruta constituye toda escuela arquitectonica dentro arte muchos sofisticado decoracion aqui especialmental rica nos habla tanto importancia estos poblados elaborada cosmogonia,post,1,NEU,NEUTRAL,-1
1929 archivo personal miguel quintal mun a,post,1,NEU,NEUTRAL,-1
poderoso adivino 2023 instagram com oswaldomatu,post,1,NEU,NEUTRAL,-1
alrededor 1900 lugareno observa detenimiento grandeza cuadrangulo monjas literal enredanans ruinas vista oriente poniente puertas colapsadas cuyas vigas madera le daban soporte sucumbieron tiempo fueron robadas recente lugar comentarios original blanco negro editada restaurada coloreada digitalmenta,post,1,NEU,NEUTRAL,-1
aventura travel photography p hot the day artist cool friends iger s art travel photography,post,1,NEU,NEUTRAL,-1
mexico sorprendente echenle vistazo maravillosa ar o logic a lugar lleno misticismo e historia lo encuentras hora merida si vas increible lugar te recomiendo zapato comodo bloqueador sombrero gorra mucha actitud caminar bello lugar,post,1,NEU,NEUTRAL,-1
descubre detless estas letras turissticas tienen ti ubicado 16 km sobre carretera merida letras pintadas mano locales artistas,post,1,NEU,NEUTRAL,-1
inhala exhala comienza tu semana hoy postal increible,post,1,NEU,NEUTRAL,-1
algunas nemas prensa jacqueline kennedy marzo 1968,post,1,NEU,NEUTRAL,-1
puuc mexico piramide adivino tambien llamada hechicero enano gran chilan construccion 35 metro alto base 53 5 metros lado mayor leyenda segun relato investigador estadounidense john lloyd stephens sus incidentes viaje principios 1840 cuenta leyenda edificio construido sola noche une enoo nacido huevo encontrado pora bruja cerca nino nacio capacidad adivinar futuro lo llamado adivino dia enano descubrio tunkul instrumento percusion madera puso tocarlo acuerdo profecias era sabido alguien tocase ese instrumento sonido repercutiera toda region obdendria trono ciadad modo porl rey identificado sunundo anunnedo l reinado disputo enfrentarse destino rey llamo enano someterlo varias pruebas difi joven aprobo exito finalme sobrevivio dificil romper sobre cabeza mazo piedra cesta cocoyoles especie frutos muy dura soberano alguna castigo misma prueba murio acto despues crimer golpe asi comenzo reinado enano adivino,post,1,NEU,RESPONSABILIDAD,-1
corredor artesanal 2022 5 15 agosto visitanos,post,1,NEU,NEUTRAL,-1
1930 staff universidad tulane fachada oriente cuadrangulo monjas junto todo equipo utilizaron montar campamento trabajos investigacion realizados estos trabajos estuvieron cargo frans blom fueron supervisados arqueologo yucateco arq jose erosa peniche editada restaurada mejor presente,post,1,NEU,NEUTRAL,-1
1930 personal universidad tulane empujando carreta poder ingresar equipo cuadrangulo monjas lugar donde montaron campamento estudiar editada restaurada mejor presente,post,1,NEU,NEUTRAL,-1
