archivo,filas_totales,palabras_corpus_prompts,palabras_corpus_descripciones,top_ngrams_solicitados,ngrams_prompts_utilizados,ngrams_desc_utilizados,vocabulario_combinado_size,jaccard_distance,jaccard_similarity,cosine_similarity,coverage_prompts_en_desc,coverage_desc_en_prompts,ngrams_comunes_entre_tops,ngrams_union_total,total_ngrams_unicos_prompts,total_ngrams_unicos_desc,top_ngrams_prompts,top_ngrams_descripciones,ngrams_comunes
ACAPULCO_clean.csv,500,15566,8094,10,10,10,20,0.7,0.3,0.045746,0.5,0.7,0,20,1000,1000,comida | puesta | piscina | drones | mesa | noche | jungla | acantilado | bote | rio,play | cuesta | dias | pie | playa | 60 | an | nos | destino | smas,ninguno
ACAPULCO_clean.csv,500,15566,8094,20,20,20,40,0.641026,0.358974,0.047782,0.65,0.65,0,40,1000,1000,comida | puesta | piscina | drones | mesa | noche | jungla | acantilado | bote | rio | colores | plato | verde | costa | cielo | alimentos | escena | lago | color | mujer,play | cuesta | dias | pie | playa | 60 | an | nos | destino | smas | desde | su | sus | cera | rena | rena cera | ven | mundial | visita | salgadopineda,ninguno
ACAPULCO_clean.csv,500,15566,8094,30,30,30,60,0.631579,0.368421,0.054857,0.6333,0.6333,0,60,1000,1000,comida | puesta | piscina | drones | mesa | noche | jungla | acantilado | bote | rio | colores | plato | verde | costa | cielo | alimentos | escena | lago | color | mujer | azules | bajo | beach | grupo | hombre | vegetacion | escenario | colorido | luces | puerto,play | cuesta | dias | pie | playa | 60 | an | nos | destino | smas | desde | su | sus | cera | rena | rena cera | ven | mundial | visita | salgadopineda | bellezas | esta | adic | ional | laguna | tr | tr adic | como | adic ional | invitan,ninguno
ACAPULCO_clean.csv,500,15566,8094,40,40,40,79,0.581081,0.418919,0.070183,0.625,0.65,1,79,1000,1000,comida | puesta | piscina | drones | mesa | noche | jungla | acantilado | bote | rio | colores | plato | verde | costa | cielo | alimentos | escena | lago | color | mujer | azules | bajo | beach | grupo | hombre | vegetacion | escenario | colorido | luces | puerto | pie | disparo | costera | gran | sunset | muestra | pajaro | favela | paraiso | aguas,play | cuesta | dias | pie | playa | 60 | an | nos | destino | smas | desde | su | sus | cera | rena | rena cera | ven | mundial | visita | salgadopineda | bellezas | esta | adic | ional | laguna | tr | tr adic | como | adic ional | invitan | tr adic ional | donde | wbc | dia | naturaleza | nos invitan | mar | convencion | lugar | playas,pie
ACAPULCO_clean.csv,500,15566,8094,50,50,50,97,0.56044,0.43956,0.077275,0.62,0.66,3,97,1000,1000,comida | puesta | piscina | drones | mesa | noche | jungla | acantilado | bote | rio | colores | plato | verde | costa | cielo | alimentos | escena | lago | color | mujer | azules | bajo | beach | grupo | hombre | vegetacion | escenario | colorido | luces | puerto | pie | disparo | costera | gran | sunset | muestra | pajaro | favela | paraiso | aguas | arte | naranja | dron | imagen | madera | nocturna | tazon | ambiente | como | desayuno,play | cuesta | dias | pie | playa | 60 | an | nos | destino | smas | desde | su | sus | cera | rena | rena cera | ven | mundial | visita | salgadopineda | bellezas | esta | adic | ional | laguna | tr | tr adic | como | adic ional | invitan | tr adic ional | donde | wbc | dia | naturaleza | nos invitan | mar | convencion | lugar | playas | guerrero | ideal | boxeo | lo | santa | clima | gastronomia | gran | colaboradores | pie cuesta,gran | pie | como
CANCUN_clean.csv,144,4872,4511,10,10,10,20,0.45,0.55,0.176879,0.7,0.9,0,20,1000,1000,ruinas | piscina | viento | neon | iluminacion | drones | colores | ganador | traje | negro,play | aqui | dia | isla | mundo | playa | nos | tiene | turquesa | ya,ninguno
CANCUN_clean.csv,144,4872,4511,20,20,20,40,0.5,0.5,0.168183,0.6,0.8,0,40,1000,1000,ruinas | piscina | viento | neon | iluminacion | drones | colores | ganador | traje | negro | ciudad | templo | bano | madera | beach | bikini | al | arena | vista | blanco,play | aqui | dia | isla | mundo | playa | nos | tiene | turquesa | ya | aventura | destino | dias | tambien | wind | 2023 | azul | desde | disfrutar | diversion,ninguno
CANCUN_clean.csv,144,4872,4511,30,30,30,60,0.457627,0.542373,0.186726,0.6333,0.8333,0,60,1000,1000,ruinas | piscina | viento | neon | iluminacion | drones | colores | ganador | traje | negro | ciudad | templo | bano | madera | beach | bikini | al | arena | vista | blanco | maya | premio | traje bano | cueva | esta | vestido | club | color | jungla | revista,play | aqui | dia | isla | mundo | playa | nos | tiene | turquesa | ya | aventura | destino | dias | tambien | wind | 2023 | azul | desde | disfrutar | diversion | lugar | perfecto | son | arte | cuando | donde | iso | mejores | sol | tropical,ninguno
CANCUN_clean.csv,144,4872,4511,40,40,40,78,0.466667,0.533333,0.186453,0.6,0.8,2,78,1000,1000,ruinas | piscina | viento | neon | iluminacion | drones | colores | ganador | traje | negro | ciudad | templo | bano | madera | beach | bikini | al | arena | vista | blanco | maya | premio | traje bano | cueva | esta | vestido | club | color | jungla | revista | sol | grupo | isla | nina | piedra | sunset | vacaciones | bote | columnas | gran,play | aqui | dia | isla | mundo | playa | nos | tiene | turquesa | ya | aventura | destino | dias | tambien | wind | 2023 | azul | desde | disfrutar | diversion | lugar | perfecto | son | arte | cuando | donde | iso | mejores | sol | tropical | ano | entre | familia | fest | hasta | mayan | mayan wind | mayan wind fest | mujeres | reels,isla | sol
CANCUN_clean.csv,144,4872,4511,50,50,50,96,0.43956,0.56044,0.188864,0.64,0.82,4,96,1000,1000,ruinas | piscina | viento | neon | iluminacion | drones | colores | ganador | traje | negro | ciudad | templo | bano | madera | beach | bikini | al | arena | vista | blanco | maya | premio | traje bano | cueva | esta | vestido | club | color | jungla | revista | sol | grupo | isla | nina | piedra | sunset | vacaciones | bote | columnas | gran | luces | mar | dia | dos | futbol | grande | iluminacion neon | mujeres | personas | ruins,play | aqui | dia | isla | mundo | playa | nos | tiene | turquesa | ya | aventura | destino | dias | tambien | wind | 2023 | azul | desde | disfrutar | diversion | lugar | perfecto | son | arte | cuando | donde | iso | mejores | sol | tropical | ano | entre | familia | fest | hasta | mayan | mayan wind | mayan wind fest | mujeres | reels | vida | wind fest | agua | aguas | era | in | mejor | mientras | muy | natural,isla | sol | dia | mujeres
