texto_original,texto_limpio,texto_procesado,cluster,tema_principal,ciudad,fuente,sentimiento,frame,subtopico,prompt,prompt_traducido,prompt_limpio
"¡Lucha libre con causa! 💪 

La Embajada de Suiza en México, en colaboración con el CMLL y la Secretaría de Turismo de la Ciudad de México presentan: 

#luchaporelclima , la Embajada de Suiza en México, en colaboración con el CMLL y la Secretaría de Turismo de la Ciudad de México presentan: 

🗓️ El domingo 16 de junio un evento épico de lucha libre en Av. Paseo de la Reforma, a la altura de la fuente de la Diana Cazadora, con emocionantes justas, donde se compartirán iniciativas impulsadas por Suiza contra la emergencia climática que ya se están implementando en México.

🌎 ¡El planeta es nuestro ring! Desde las calles de México hasta los proyectos de sostenibilidad impulsados por la cooperación Suiza-México, en conjunto podemos ser parte del cambio. ¡Únete a la lucha por el clima y sé parte de la solución! 🇨🇭 🇲🇽

@casadesuiza @cmll_mx","lucha libre con causa  

la embajada de suiza en mexico en colaboracion con el cmll y la secretaria de turismo de la ciudad de mexico presentan 

lucha pore lc lima  la embajada de suiza en mexico en colaboracion con el cmll y la secretaria de turismo de la ciudad de mexico presentan 

 el domingo 16 de junio un evento epico de lucha libre en av paseo de la reforma a la altura de la fuente de la diana cazadora con emocionantes justas donde se compartiran iniciativas impulsadas por suiza contra la emergencia climatica que ya se estan implementando en mexico

 el planeta es nuestro ring desde las calles de mexico hasta los proyectos de sostenibilidad impulsados por la cooperacion suizamexico en conjunto podemos ser parte del cambio unete a la lucha por el clima y se parte de la solucion",causa pore lima embajada colaboracion cmll secretaria turismo ciudad presentar domingo junio evento epico libre paseo reforma altura fuente diana cazador emocionante justo compartirar iniciativa suiza emergencia climatico implementar planeta ring calle mexico proyecto sostenibilidad impulsado cooperacion suizamexico conjunto cambio unete lucha clima solucion,3,mexico,CDMX_CORPUS_LIMPIO,post,POS,NEUTRAL,0,,,
"Con la #CosechaDeLluvia en las
#EscuelasDeCaptación acercamos el derecho humano al agua a estudiantes de la Ciudad de México. 🌧️

Con una inversión de 300 mdp se instalan Sistemas de Captación de Agua de Lluvia en primarias, secundarias, preescolares y escuelas normales que permiten captar hasta 918 millones de litros anuales, equivalentes a 91 mil 800 pipas, para utilizar en tareas diarias. 🚰","con la cos ech adell u via en las
escuela s de capt aci n acercamos el derecho humano al agua a estudiantes de la ciudad de mexico 

con una inversion de 300 mdp se instalan sistemas de captacion de agua de lluvia en primarias secundarias preescolares y escuelas normales que permiten captar hasta 918 millones de litros anuales equivalentes a 91 mil 800 pipas para utilizar en tareas diarias",cos ech adell via capt aci acercar derecho humano estudiante ciudad mexico inversion mdp instalar sistema captacion agua lluvia primaria secundario preescolar escuela normal permitir captar millón litro anual equivalente mil pipa utilizar tarea diario,1,dmx,CDMX_CORPUS_LIMPIO,post,NEU,NEUTRAL,1,,,
"#BuenosDías 🌅

Les dejamos una postal desde Calzada Tláhuac Chalco, punto de la Ciudad de México colindante con el Estado de México. 

¿Desde qué punto de la Ciudad de México comienzas el día?

•
•
•
•
•
•

#TurismoCDMX #cdmx #mexicocity #amanecer #tláhuac","buenos d as 

les dejamos una postal desde calzada tlahuac chalco punto de la ciudad de mexico colindante con el estado de mexico 

desde que punto de la ciudad de mexico comienzas el dia








turismo c dmx c dmx mexico city a mane cer tl huac",dejar postal calzada chalco colindante punto ciudad comienzas turismo dmx mexico city mane cer huac,1,dmx,CDMX_CORPUS_LIMPIO,post,NEU,NEUTRAL,4,,,
"“Azúcares Sacras. Dulces Rituales”, te espera en el Museo Mural Diego Rivera.

La tradición del dulce mexicano de alfeñique llega a este recinto con una exposición que retrata su historia, desde la época prehispánica, el virreinato y la época actual.

Con piezas de arte popular, arte prehispánico, dibujos, pinturas, fotografía y hojas volantes.

•
•
•
•

#TurismoCDMX #turismo #cdmx #arte #diegorivera #art #museum","azucares sacras dulces rituales te espera en el museo mural diego rivera

la tradicion del dulce mexicano de alfenique llega a este recinto con una exposicion que retrata su historia desde la epoca prehispanica el virreinato y la epoca actual

con piezas de arte popular arte prehispanico dibujos pinturas fotografia y hojas volantes






turismo c dmx turismo c dmx arte diego river a art museum",azucar sacro ritual esperar museo mural rivera tradicion dulce mexicano alfenique llegar recinto exposicion retratar historia virreinato epoca actual pieza popular prehispanico dibujo pintura fotografia hoja volante turismo dmx arte diego river art museum,3,mexico,CDMX_CORPUS_LIMPIO,post,NEU,NEUTRAL,0,,,
"¡Un día de diversión y aprendizaje en el Acuario Michin! 🫧🐠 
Descubre fascinantes datos curiosos sobre especies endémicas, su conservación y rescate en salas interactivas. 🦈
El mundo marino te sorprende en los escenarios de este recinto.✨ 
¡Conócelo! 😉","un dia de diversion y aprendizaje en el acuario michin  
descubre fascinantes datos curiosos sobre especies endemicas su conservacion y rescate en salas interactivas 
el mundo marino te sorprende en los escenarios de este recinto 
conocelo",diversion aprendizaje acuario michin descubrir fascinante dato curioso especie endemica conservacion rescate sala interactivo mundo marino sorprender escenario recinto conocelir,3,mexico,CDMX_CORPUS_LIMPIO,post,NEU,NEUTRAL,-1,,,
"Terraza del Museo del Estanquillo

En el cruce de las populares calles de Isabel la Católica y Francisco I. Madero este recinto abre sus puertas a las expresiones culturales a través de una gran colección que perteneció al escritor y periodista Carlos Monsiváis.
Visita su librería y cafetería en lo alto del encantador edificio. 

•
•
•
•
•

#arte #museo #turismocdmx #cdmx #mexicocity 
#terraza","terraza del museo del estanquillo

en el cruce de las populares calles de isabel la catolica y francisco i madero este recinto abre sus puertas a las expresiones culturales a traves de una gran coleccion que pertenecio al escritor y periodista carlos monsivais
visita su libreria y cafeteria en lo alto del encantador edificio 







arte museo turismo c dmx c dmx mexico city 
terra za",terraza estanquillo cruce popular calle isabel catolica francisco madero recinto abrir puerta expresión cultural traves coleccion pertenecio escritor periodista carlos monsivais visitar libreria cafeteria alto encantador edificio arte museo turismo dmx mexico city terra,3,mexico,CDMX_CORPUS_LIMPIO,post,NEU,NEUTRAL,0,,,
"¡Uno de los mercados más grandes del mundo está en la Ciudad de México! 🥩🥦🥑 

Tradición familiar, frescura y calidad distingue a la Central de Abasto CDMX  que es visitada por 350 a 500 mil personas diariamente. 🤩

Encuentra vegetales, carnes, flores, abarrotes y muchos otros productos provenientes de la ciudad y el país entero.

#TurismoCDMX #consumelocal","uno de los mercados mas grandes del mundo esta en la ciudad de mexico  

tradicion familiar frescura y calidad distingue a la central de abasto cdmx  que es visitada por 350 a 500 mil personas diariamente 

encuentra vegetales carnes flores abarrotes y muchos otros productos provenientes de la ciudad y el pais entero

turismo c dmx consume local",mercado mundo mexico tradicion familiar frescura calidad distinguir central abasto cdmx visitar mil persona diariamente vegetal carne flor abarrot producto proveniente ciudad pais entero turismo consumir local,3,mexico,CDMX_CORPUS_LIMPIO,post,NEU,NEUTRAL,0,,,
"En el jardín de la Casa del Lago UNAM se encuentra esta escultura de arquitectura semejante a un templo griego. 🌳🏛️🌳✨
 
Como área de descanso, para disfrutar de una lectura o apreciar la vista al lago, este punto del Bosque de Chapultepec, es un imperdible en tu visita.

¡Ven a conocerlo! 😉

•
•
•
•
•
•

#chapultepec #cdmx #mexicocity #bosque #escultura #arte #jardín @casadellago.unam","en el jardin de la casa del lago unam se encuentra esta escultura de arquitectura semejante a un templo griego 
 
como area de descanso para disfrutar de una lectura o apreciar la vista al lago este punto del bosque de chapultepec es un imperdible en tu visita

ven a conocerlo 








chap ul te pec c dmx mexico city bosque es cultura arte jard n unam",jardin casa escultura arquitectura semejante templo griego area descanso disfrutar lectura apreciar vista lago punto chapultepec imperdible visita ver conocer él chap pec dmx mexico city bosque cultura arte jard unam,3,mexico,CDMX_CORPUS_LIMPIO,post,NEU,NEUTRAL,1,,,
"🇨🇭💪 Únete a la #LuchaporelClima en Reforma, presentada en colaboración con el @cmll_mx y la secretaría de @turismo_cdmx_ 

🗓️ Este domingo 16 de junio se llevará a cabo un evento épico de lucha libre en Paseo de la Reforma, a la altura de la fuente de la Diana Cazadora.

💪 En este evento se presentarán emocionantes luchas y también compartiremos iniciativas impulsadas por Suiza contra la emergencia climática que ya se están implementando en México.

🌎 ¡El planeta es nuestro ring! Desde las calles de México hasta los proyectos de sostenibilidad impulsados por la cooperación Suiza-México, en conjunto podemos ser parte del cambio. ¡Únete a la lucha por el clima y sé parte de la solución!","unete a la lucha pore lc lima en reforma presentada en colaboracion con el  y la secretaria de  

 este domingo 16 de junio se llevara a cabo un evento epico de lucha libre en paseo de la reforma a la altura de la fuente de la diana cazadora

 en este evento se presentaran emocionantes luchas y tambien compartiremos iniciativas impulsadas por suiza contra la emergencia climatica que ya se estan implementando en mexico

 el planeta es nuestro ring desde las calles de mexico hasta los proyectos de sostenibilidad impulsados por la cooperacion suizamexico en conjunto podemos ser parte del cambio unete a la lucha por el clima y se parte de la solucion",pore lima presentado colaboracion secretaria domingo junio llevar cabo epico libre paseo reforma altura fuente diana cazador evento presentar emocionante compartir iniciativa suiza emergencia climatico implementar planeta ring calle mexico proyecto sostenibilidad impulsado cooperacion suizamexico conjunto cambio unete lucha clima solucion,3,mexico,CDMX_CORPUS_LIMPIO,post,POS,NEUTRAL,0,,,
"El Gobierno de la Ciudad de México, con enfoque social, innovador y de derechos, pone en marcha tres unidades del #trenligeroxochimilco para #másymejormovilidad que además mejora la conectividad del sur de la #CDMX. 🚎 
@semovicdmx Servicio de Transportes Eléctricos de la Ciudad de México.","el gobierno de la ciudad de mexico con enfoque social innovador y de derechos pone en marcha tres unidades del tren liger oxo chi mil co para m sy mejor mo vili dad que ademas mejora la conectividad del sur de la c dmx  
 servicio de transportes electricos de la ciudad de mexico",gobierno enfoque social innovador derecho poner marcha unidad tren liger oxo chi mil vili dad mejora conectividad sur dmx servicio transporte electrico ciudad mexico,3,mexico,CDMX_CORPUS_LIMPIO,post,POS,NEUTRAL,0,,,
