texto_original,texto_limpio,texto_procesado,cluster,tema_principal,ciudad
"Aún estás a tiempo de asistir al @ficg 🎞️

Cáele con todxs tus amigxs a vivir esta experiencia única en nuestra ciudad 💌

¡Viernes 14 y sábado 15 son los últimos días!

🎥 @alondra_mir","aun estas a tiempo de asistir al  

caele con todxs tus amigxs a vivir esta experiencia unica en nuestra ciudad 

viernes 14 y sabado 15 son los ultimos dias",tiempo asistir caele todx amigxs vivir experiencia unico ciudad viernes sabar ultimo,3,guadalajara,GUADALAJARA_CORPUS_LIMPIO
"🌈🎉 ¡Gay-dalajara está de fiesta! Celebra el amor, la diversidad y la inclusión en este #Pride2024 #GDLHazlaTuya #GDLPride",gaydalajara esta de fiesta celebra el amor la diversidad y la inclusion en este pride 2024 gdl ha zl atu ya gdl pride,gaydalajar fiesta celebrar amor diversidad inclusion atu gdl pride,1,guadalajara,GUADALAJARA_CORPUS_LIMPIO
"¿No sabes dónde celebrar tu cumpleaños? Solo ve este video y reserva hoy mismo tu vuelo a Guadalajara. 😎✨

📸@travel_guy_42

#GDLHazlaTuya","no sabes donde celebrar tu cumpleanos solo ve este video y reserva hoy mismo tu vuelo a guadalajara 



gdl ha zl atu ya",celebrar cumpleano video reserva vuelo guadalajara gdl atu,1,guadalajara,GUADALAJARA_CORPUS_LIMPIO
"Hospicio Cabañas
Proyecto:Manuel Tolsá
1810
Intervención: Ignacio Díaz Morales
Guadalajara Centro, Jalisco México.

Exposición Actual: @jesuschuchoreyesferreira

Vídeo: Eduardo Romero|@studioaldetalle |2024|

.
.
.

.
.

.

#barroco #mexico #arquitectura #obrasmaestras #jalisco #mexico #masterpiece #drone #reels","hospicio cabanas
proyectomanuel tolsa
1810
intervencion ignacio diaz morales
guadalajara centro jalisco mexico

exposicion actual 

video eduardo romero 2024










barr o co mexico ar quite c tura obras maestra s jalisco mexico masterpiece drone reels",hospicio cabanas proyectomanuel tolsa intervencion ignacio diaz morales guadalajara centro exposicion actual video eduardo romero barr quitar tura obra maestro jalisco mexico masterpiece drone reels,1,guadalajara,GUADALAJARA_CORPUS_LIMPIO
"Comenta la razón por la que deberías de venir a GDL a tomar tequila. 

Te dejamos algunas: 
🧊 Hay mariachi en vivo
🧊 Tiene diferentes presentaciones, cazuelitas, shots, cantaritos. 
🧊En nuestra ciudad nadie te juzga.

📸: @macarr.on","comenta la razon por la que deberias de venir a gdl a tomar tequila 

te dejamos algunas 
 hay mariachi en vivo
 tiene diferentes presentaciones cazuelitas shots cantaritos 
en nuestra ciudad nadie te juzga

 on",comentar razon venir gdl tomar tequila dejar mariachi vivo presentación cazuelita shots cantarito ciudad juzgar,3,guadalajara,GUADALAJARA_CORPUS_LIMPIO
"¡Se viene el @ficg en nuestra ciudad! ⭐️🎬

Prepárense porque del 7 al 15 de junio sucederá la edición 39 del Festival Internacional del Cine en Guadalajara 🎞️

No se pierdan de su extenso programa de activades y su cartelera de películas nominadas que se proyectarán en varios puntos de la ciudad 📍","se viene el  en nuestra ciudad 

preparense porque del 7 al 15 de junio sucedera la edicion 39 del festival internacional del cine en guadalajara 

no se pierdan de su extenso programa de activades y su cartelera de peliculas nominadas que se proyectaran en varios puntos de la ciudad",venir preparense junio sucederar edicion festival internacional cine guadalajara perder extenso programa activad cartelera pelicula nominada proyectar punto ciudad,1,guadalajara,GUADALAJARA_CORPUS_LIMPIO
"🚴‍♀️ Conecta destinos y vive la ciudad de una manera única: ¡en bicicleta! 🌆

En Guadalajara, moverse en bici es fácil y divertido. Descubre rincones increíbles, disfruta del aire libre y siente la libertad de pedalear por calles llenas de historia y modernidad. ¡Súbete a la bici y explora! 🌳

📸jrgdz_14

#GDLTuConexión #GDLHazlaTuya","conecta destinos y vive la ciudad de una manera unica en bicicleta 

en guadalajara moverse en bici es facil y divertido descubre rincones increibles disfruta del aire libre y siente la libertad de pedalear por calles llenas de historia y modernidad subete a la bici y explora 

jrgdz_14

gdl tuc one xi n gdl ha zl atu ya",conectar destino vivir ciudad unico bicicleta guadalajara mover él facil divertido descubrir rincón increibl disfrutar aire libre sentir libertad pedalear calle lleno historia modernidad subete bici explorar jrgdz tuc one gdl atu,3,guadalajara,GUADALAJARA_CORPUS_LIMPIO
"¡Vámonos a Huaxtla! 🤩

Las refrescantes cascadas que se encuentran a solo 40 minutos de nuestra bella ciudad ❤️

Váyanse temprano, lleven agua y bloqueador ☀️ 

100% recomendado 💌","vamonos a huaxtla 

las refrescantes cascadas que se encuentran a solo 40 minutos de nuestra bella ciudad 

vayanse temprano lleven agua y bloqueador  

100 recomendado",vamono huaxtla refrescante cascada encontrar minuto bello ciudad vayansar llevar agua bloqueador recomendado,2,guadalajara,GUADALAJARA_CORPUS_LIMPIO
"🌿 ¿Buscas el spot más aesthetic para desayunar en Guadalajara? 

No busques más: Inmaculado Café es tu destino. 

Aquí, cada rincón es perfecto para tu feed, desde los platos artísticamente servidos hasta el ambiente chill que lo rodea. 🍳

#GDLTuGastronomía

📸@inmaculado.cafe","buscas el spot mas aesthetic para desayunar en guadalajara 

no busques mas inmaculado cafe es tu destino 

aqui cada rincon es perfecto para tu feed desde los platos artisticamente servidos hasta el ambiente chill que lo rodea 

gdl tug astro nom a

cafe",buscar spot aesthetic desayunar guadalajara busques inmaculado destino rincon perfecto feed plato artisticamente servido ambiente chill rodear gdl tug astro nom cafe,2,guadalajara,GUADALAJARA_CORPUS_LIMPIO
"✨ ¡Este 15 de junio, es el Pride en Guadalajara!

Prepara tus outfits más coloridos y únete al desfile más vibrante y alegre de la ciudad. 🎉🕺

Celebra la diversidad con estilo, disfruta de fiestas épicas y energía única 
¡No te pierdas las fiestas más chic del año!

📸@alexx_vazzquez @fatma_santillan","este 15 de junio es el pride en guadalajara

prepara tus outfits mas coloridos y unete al desfile mas vibrante y alegre de la ciudad 

celebra la diversidad con estilo disfruta de fiestas epicas y energia unica 
no te pierdas las fiestas mas chic del ano",junio pride guadalajara preparar outfit colorido unete desfile vibrante alegre ciudad celebrar diversidad estilo disfrutar epica energia unico pierdar fiesta chic ano,1,guadalajara,GUADALAJARA_CORPUS_LIMPIO
