ciudad,cluster,tamano,palabras_clave,temas
CDMX_CORPUS_LIMPIO,0,134,"foto, dmx, mic, hashtag, compartir","foto, dmx, mic, hashtag, compartir, usar, disfrutar, dejes, espectacular, semana"
CDMX_CORPUS_LIMPIO,1,471,"dmx, mexico, ciudad, city, mic","dmx, mexico, ciudad, city, mic, turismo, travel, instar, disfrutar, lot"
CDMX_CORPUS_LIMPIO,2,345,"dmx, mexico, travel, city, instar","dmx, mexico, travel, city, instar, the, pic, day, photography, visit"
CDMX_CORPUS_LIMPIO,3,386,"mexico, ciudad, dmx, city, turismo","mexico, ciudad, dmx, city, turismo, centro, museo, travel, cultural, arte"
CDMX_CORPUS_LIMPIO,4,63,"dmx, ciudad, mexico, nights, city","dmx, ciudad, mexico, nights, city, latino, reforma, unam, fuente, muerto"
GUADALAJARA_CORPUS_LIMPIO,0,580,"guadalajara, ciudad, centro, lugar, visit","guadalajara, ciudad, centro, lugar, visit, arte, conocer, visitar, zona, calle"
GUADALAJARA_CORPUS_LIMPIO,1,573,"guadalajara, jalisco, mexico, foto, tien","guadalajara, jalisco, mexico, foto, tien, esque, gdl, visit, amazing, gan"
GUADALAJARA_CORPUS_LIMPIO,2,449,"guadalajara, foto, disfrutar, lugar, tequila","guadalajara, foto, disfrutar, lugar, tequila, visit, delicioso, ciudad, dejar, sabor"
GUADALAJARA_CORPUS_LIMPIO,3,475,"guadalajara, ciudad, lugar, disfrutar, visit","guadalajara, ciudad, lugar, disfrutar, visit, ver, vivir, descubrir, visita, visitar"
GUADALAJARA_CORPUS_LIMPIO,4,121,"él, guadalajara, lugar, ver, conocer","él, guadalajara, lugar, ver, conocer, ciudad, visitar, foto, venir, centro"
MONTERREY_CORPUS_LIMPIO,0,262,"travelers, notebook, wanderlust, via, traveling","travelers, notebook, wanderlust, via, traveling, travel, mont, follow, jar, amo"
MONTERREY_CORPUS_LIMPIO,1,18,"visit, monterrey, mexico, leon, travel","visit, monterrey, mexico, leon, travel, magic, ciudad, gram, amo, follow"
MONTERREY_CORPUS_LIMPIO,2,1,"rockear, octubre, monterrey, listo, contenta","rockear, octubre, monterrey, listo, contenta, casa, boleto"
MONTERREY_CORPUS_LIMPIO,3,1,"posted, night, morning, good","posted, night, morning, good"
MONTERREY_CORPUS_LIMPIO,4,1,"visit, sanchez, monterrey, mexico, leon","visit, sanchez, monterrey, mexico, leon, laguna, lago"
